Last Name,First Name,The nature of the market dominance of technology giants in the digital economy warrants either the imposition of some kind of regulation or a fundamental change in antitrust policy.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,We do need new Antitrust policies and new regulation as well as new taxation to deal with the issues raised by the Tech firms.
Antras,Pol,Agree,6,
Bandiera,Oriana,Strongly Agree,8,
Blanchard,Olivier,Agree,5,
Bloom,Nicholas,Strongly Disagree,9,"The history of Government regulation is poor, and particularly with Governments like Trump in the US I do not want them to have more control"
Blundell,Richard William,Agree,7,
Carletti,Elena,Uncertain,4,
Danthine,Jean-Pierre,Agree,5,
De Grauwe,Paul,Did Not Answer,,
Eeckhout,Jan,Strongly Agree,10,
Fehr,Ernst,Agree,9,
Freixas,Xavier,Strongly Agree,7,
Fuchs-Schündeln,Nicola,Agree,7,
Galí,Jordi,Agree,6,
Giavazzi,Francesco,Agree,7,
Griffith,Rachel,Uncertain,3,
Guerrieri,Veronica,Agree,6,
Guiso,Luigi,Agree,6,
Guriev,Sergei,Agree,6,
Honohan,Patrick,Agree,1,
Javorcik,Beata,Did Not Answer,,
Kőszegi,Botond,Strongly Agree,10,
Krahnen,Jan Pieter,Agree,6,
La Ferrara,Eliana,Agree,3,
Leuz,Christian,Agree,5,
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Agree,7,
Neary,Peter,Agree,6,
Pagano,Marco,Strongly Agree,8,
Pastor,Lubos,Uncertain,3,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Strongly Agree,8,They are becoming monopolies in very sensitise areas. Human nature cannot be trusted in such circumstances
Portes,Richard,Strongly Agree,5,
Prendergast,Canice,Agree,7,
Propper,Carol,Uncertain,4,
Rasul,Imran,Did Not Answer,,
Reichlin,Lucrezia,Agree,3,
Repullo,Rafael,Agree,4,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Agree,9,
Storesletten,Kjetil,Agree,4,
Sturm,Daniel,Agree,9,
Van Reenen,John,Agree,6,
Vickers,John,Did Not Answer,,
Voth,Hans-Joachim,Disagree,8,
Whelan,Karl,Agree,5,"I learned lots from reading Varian-Shapiro's ""Information Rules"". Markets for information goods are innately imperfectly competitive. "
Wyplosz,Charles,Agree,1,
Zilibotti,Fabrizio,Agree,7,
