Name,Bitcoins are more similar to gold than they are to Dutch tulips in the 1630s.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Aghion, Philippe",Did Not Answer,,
"Allen, Franklin",Agree,6,"I think Bitcoin is not necessarily a bubble since it does have uses, eg, transferring value from Venezuela to the US."
"Antras, Pol",Did Not Answer,,
"Bénassy-Quéré, Agnès",Disagree,2,
"Besley, Timothy J.",Did Not Answer,,
"Blanchard, Olivier",Uncertain,9,"Like bitcoin, the two assets have some intrinsic value.  Much of their price however reflects a bubble.  A draw"
"Bloom, Nicholas",Disagree,1,This feels like a classic bubble - my guess is 10 years from now they will be valueless.
"Blundell, Richard William",Did Not Answer,,
"Carletti, Elena",Did Not Answer,,
"Danthine, Jean-Pierre",Disagree,3,Both gold and tulips are bubbles. Gold has a larger intrinsic value plus a long history as a safe haven asset.
"De Grauwe, Paul",Did Not Answer,,
"Eeckhout, Jan",Disagree,5,
"Fehr, Ernst",Did Not Answer,,
"Freixas, Xavier",Strongly Disagree,10,Currencies are backed by tax collection.
"Fuchs-Schündeln, Nicola",Did Not Answer,,
"Galí, Jordi",Disagree,7,"Like the price of Dutch tulips in the 1630s, bitcoins' price seems to have a large bubble component. Gold's is likely smaller."
"Garicano, Luis",Did Not Answer,,
"Giavazzi, Francesco",Agree,4,
"Griffith, Rachel",No Opinion,,
"Guerrieri, Veronica",Did Not Answer,,
"Guiso, Luigi",Disagree,5,
"Honohan, Patrick",Agree,8,Bitcoin has a payments function unlike those tulip bulbs
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",No Opinion,,
"Krahnen, Jan Pieter",Disagree,5,"Again, tulips had developed into a mutually accepted expression of value, and bulbs were seen as the key (algorithm) to replication/mining. "
"Krusell, Per",Agree,4,Gold is also a medium of exchange though not a very liquid one. 
"La Ferrara, Eliana",Did Not Answer,,
"Leuz, Christian",Disagree,6,"Investors might be speculating on bitcoins being used in some future application, but there are many competitors or alternatives."
"Meghir, Costas",Did Not Answer,,
"Neary, Peter",Uncertain,1,If I knew the answer I would take a position on them!
"O'Rourke, Kevin",Disagree,5,
"Pagano, Marco",Disagree,4,
"Pastor, Lubos",Agree,5,Little similarity to tulips besides the recent bubble-like price pattern
"Persson, Torsten",Did Not Answer,,
"Pissarides, Christopher",Disagree,8,"Tulips, from what I know, have very little other uses"
"Portes, Richard",Strongly Disagree,9,Bitcoins are bubble like tulips. And not even pretty to look at. Gold not bubble (and is rather pretty).
"Prendergast, Canice",Agree,7,
"Reichlin, Lucrezia",Agree,10,
"Repullo, Rafael",Agree,7,Dutch tulips can hardly serve as commodity money. 
"Rey, Hélène",Strongly Disagree,8,Gold has some durable intrinsic value (jewels). Bitcoins have none.
"Schoar, Antoinette",Strongly Disagree,8,
"Van Reenen, John",Disagree,6,
"Vickers, John",Uncertain,5,
"Voth, Hans-Joachim",Disagree,5,Tulips are highly differentiated goods; bitcoin are not. But both bitcoin and tulips have no business being very valuable...
"Weder di Mauro, Beatrice",Strongly Disagree,8,Fantasy plays a large part in the pricing of bitcoin. 
"Whelan, Karl",Disagree,8,The tulips thing was a long time ago and there are various disagreements about it. But yes Bitcoin is more pure speculation than even gold.
"Wyplosz, Charles",Disagree,5,"Tulips were subject to a bubble, which also applies to bitcoins, and occasionally to gold. "
"Zilibotti, Fabrizio",Did Not Answer,,
