Name,"All else equal, if corporations throughout Europe set quotas for a minimum number of women board members, the shareholder value of European companies would increase.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Aghion, Philippe",Did Not Answer,,
"Allen, Franklin",Uncertain,3,I am not knowledgeable about the evidence in this area.  Setting quotas is a good idea in my view but not because of value increase.
"Antras, Pol",Uncertain,8,The answer would surely depend on what the quota is set to! I think a quota is reasonable but empirical evidence  / for externalities is scant
"Bénassy-Quéré, Agnès",No Opinion,,I think there are already quotas in a number of countries.
"Besley, Timothy J.",Did Not Answer,,
"Blanchard, Olivier",Agree,3,Different perspectives are typically useful.  Whether there is a sufficiently large pool of qualified women today is not obvious.  
"Bloom, Nicholas",Disagree,5,"Regulating firms behavior usually reduces profits and this is unlikely to be an exception. However, it still could be good for society."
"Blundell, Richard William",Uncertain,7,
"Carletti, Elena",Agree,6,
"Danthine, Jean-Pierre",Uncertain,4,
"De Grauwe, Paul",Uncertain,2,I have no expertise in this issue
"Eeckhout, Jan",Agree,7,
"Fehr, Ernst",Uncertain,7,
"Freixas, Xavier",Strongly Disagree,8,
"Fuchs-Schündeln, Nicola",Agree,8,
"Galí, Jordi",Did Not Answer,,
"Garicano, Luis",Disagree,5,"Positive: breaking open old boys network, fairer promotions, visibility of mentors. Negative: choice set is more restricted"
"Giavazzi, Francesco",Uncertain,5,
"Griffith, Rachel",Uncertain,7,
"Guerrieri, Veronica",Uncertain,6,"Valuable women otherwise discriminated could become board members, but stigma could have negative effects in the longer run"
"Guiso, Luigi",Did Not Answer,,
"Hellwig, Martin",Did Not Answer,,
"Honohan, Patrick",Uncertain,4,
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",Uncertain,3,
"Krahnen, Jan Pieter",Disagree,5,"Even if more women on boards meant better decisions, the effect on shareholder value in general equilibrium is likely non-positive."
"Krusell, Per",Agree,3,Initially the reaction may be the opposite but my belief is that over the longer run it would be a plus. No data to back it up though!
"La Ferrara, Eliana",Uncertain,3,
"Leuz, Christian",Uncertain,5,"In short run, evidence suggests negative effects likely bc supply of qualified women is not yet large enough. Not much evidence on long-run."
"Meghir, Costas",Did Not Answer,,
"Neary, Peter",Uncertain,4,I am in favour of this kind of measure in principle but do not want to claim that it would affect shareholder value for the better; no worse
"O'Rourke, Kevin",Agree,6,
"Pagano, Marco",Uncertain,7,"No strong evidence for this: e.g. see ""Women on boards: The superheroes of tomorrow?"" by Renee Adams ."
"Pastor, Lubos",Disagree,5,"Constrained maximization is less efficient than unconstrained. Gender-based discrimination, if any, would have to be strong to offset this."
"Persson, Torsten",Did Not Answer,,
"Pissarides, Christopher",Agree,7,It will ensure more diversity in the views expressed and potential shareholders will have more confidence in the board as a supervisory body
"Portes, Richard",Agree,6,"I have seen empirical research that appears to support this assertion, and I have not seen any that contradicts it. But it�s not my field!"
"Prendergast, Canice",Uncertain,8,
"Reichlin, Lucrezia",Did Not Answer,,
"Repullo, Rafael",Agree,8,
"Rey, Hélène",Agree,9,Diversity improves outcomes in a complex world. 
"Schoar, Antoinette",Uncertain,9,
"Van Reenen, John",Disagree,6,
"Vickers, John",Uncertain,2,
"Voth, Hans-Joachim",Agree,4,
"Weder di Mauro, Beatrice",Agree,6,
"Whelan, Karl",Uncertain,1,
"Wyplosz, Charles",Disagree,2,"Diversity is good, but not sure that the impact will be significant."
"Zilibotti, Fabrizio",Uncertain,5,
