Name,"Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade.
Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade.
Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Allen, Franklin",Did Not Answer,,
"Antras, Pol",Strongly Agree,8,"Seems like a rather inadequate policy tool, even if other coordination mechanisms may not be working. Wrong time horizon too."
"Bénassy-Quéré, Agnès",Uncertain,5,It is not clear whether these events will have a sizeable impact on inflation.
"Besley, Timothy J.",Did Not Answer,,
"Blanchard, Olivier",Agree,8,"strange question... If there is a major global warming catastrophe, then I suspect this will affect all policies, monetary, fiscal, etc.  "
"Bloom, Nicholas",Disagree,6,
"Blundell, Richard William",Did Not Answer,,
"Carletti, Elena",Uncertain,6,The central banks seem to be aware of the importance of climate risk and thus seem to think already how to incorporate it in their models.
"Danthine, Jean-Pierre",Disagree,7,Serious economic disruptions are likely without significant policy changes to which central banks will have to react.
"De Grauwe, Paul",Did Not Answer,,
"Eeckhout, Jan",Uncertain,8,
"Fehr, Ernst",Uncertain,4,
"Freixas, Xavier",Did Not Answer,,
"Fuchs-Schündeln, Nicola",Uncertain,3,
"Galí, Jordi",Strongly Agree,8,"I don't know if they will be an important factor, but I believe they should not be. There must be better tools to fight CC."
"Giavazzi, Francesco",Agree,7,
"Griffith, Rachel",No Opinion,,
"Guerrieri, Veronica",Uncertain,3,
"Guiso, Luigi",Strongly Agree,9,I do not see why climate change may result in drastic changes in MP 
"Honohan, Patrick",Disagree,10,"Maybe quantitatively small, but could be qualitatively significant in retaining public confidence in central banks..."
"Javorcik, Beata",Strongly Disagree,6,
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",No Opinion,,
"Krahnen, Jan Pieter",Uncertain,6,"The answer is ""uncertain"", because I fear political pressure combined with central bank hubris may  lead to action based on a false positive"
"La Ferrara, Eliana",Uncertain,2,
"Leuz, Christian",Uncertain,2,Climate change can certainly create supply shocks that are relevant to monetary policy. Hard to know how large these shocks might be.
"Mayer, Thierry",Did Not Answer,,
"Meghir, Costas",Did Not Answer,,
"Neary, Peter",Uncertain,3,Extreme weather events may destabilize financial markets tho risks from global warming increasing pressure on migration are likely greater
"O'Rourke, Kevin",Uncertain,1,
"Pagano, Marco",Uncertain,2,
"Pastor, Lubos",Agree,8,Not in the next decade. Monetary policy seems most likely to begin paying attention to climate issues in Europe under Lagarde.
"Persson, Torsten",Strongly Agree,5,
"Pissarides, Christopher",Uncertain,10,Big events will require big responses but their occurrence is uncertain
"Portes, Richard",Strongly Agree,8,
"Prendergast, Canice",Agree,8,
"Reichlin, Lucrezia",Disagree,8,
"Repullo, Rafael",Agree,8,
"Rey, Hélène",Disagree,8,Climate related events can be supply (for some) or demand (for others) shocks. Some are transitory. They affect monetary policy.
"Schoar, Antoinette",Agree,7,monetary policy is not a useful tool to tackle climate risks. We will need investment in science and regulation of emission standards etc
"Sturm, Daniel",Agree,4,
"Van Reenen, John",Agree,6,
"Vickers, John",Agree,6,
"Voth, Hans-Joachim",Strongly Agree,8,
"Weder di Mauro, Beatrice",Disagree,5,
"Whelan, Karl",Agree,5,"It's not clear climate change will be a major issue for central banks over this period, particularly given the narrow remit that many have."
"Wyplosz, Charles",Agree,4,"For monetary policy stricto sensu, the principle is one instrument-one objective. Going beyond would open a Pandora box."
"Zilibotti, Fabrizio",Did Not Answer,,
