Name,"Subsidizing renewable energy sources is better than taxing fossil fuels, assuming the subsidy or tax would be set at levels that would reduce carbon emissions by an equivalent amount.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Aghion, Philippe",Did Not Answer,,
"Allen, Franklin",Agree,6,There seem to be strong learning by doing effects. Subsidies can help target these where these effects are largest.
"Antras, Pol",Uncertain,1,
"Bénassy-Quéré, Agnès",Disagree,7,"Subsidies need to be financed through taxing other tax bases, with new distortions. Better to stick with the polluter-payer principle."
"Besley, Timothy J.",Did Not Answer,,
"Blanchard, Olivier",Disagree,8,"First pass: Fight a distortion, don't create a second one.   "
"Bloom, Nicholas",Disagree,3,
"Blundell, Richard William",Did Not Answer,,
"Carletti, Elena",No Opinion,,
"Danthine, Jean-Pierre",Disagree,3,
"De Grauwe, Paul",Uncertain,5,
"Eeckhout, Jan",Uncertain,8,
"Fehr, Ernst",Did Not Answer,,
"Freixas, Xavier",Did Not Answer,,
"Fuchs-Schündeln, Nicola",Disagree,7,
"Galí, Jordi",No Opinion,,
"Garicano, Luis",Did Not Answer,,
"Giavazzi, Francesco",Uncertain,3,
"Griffith, Rachel",Agree,3,
"Guerrieri, Veronica",Disagree,6,
"Guiso, Luigi",Did Not Answer,,
"Hellwig, Martin",Agree,6,Subsidizing renewable energy may induce innovation through learning by doing. Taxing carbon may just induce cross-border substitution.
"Honohan, Patrick",Disagree,5,Better potential for double dividend.
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",Disagree,7,
"Krahnen, Jan Pieter",Agree,3,
"Krusell, Per",Strongly Disagree,9,A tax is a more direct instrument for reducing emissions - the main goal - and R&D subsidies are at best an imperfect substitute.
"La Ferrara, Eliana",Did Not Answer,,
"Leuz, Christian",Disagree,5,CO2 tax better than either one; Subs require govmnt to pick energy source & hard to justify unless spur innovation w/ large spillovers.
"Meghir, Costas",Did Not Answer,,
"Neary, Peter",Disagree,4,"Given revenue neutrality, choosing between the policies hinges on uncertainty (which renewables?) & on macro considerations: stimulus better"
"O'Rourke, Kevin",No Opinion,,
"Pagano, Marco",Uncertain,1,
"Pastor, Lubos",Disagree,3,
"Persson, Torsten",Did Not Answer,,
"Pissarides, Christopher",Strongly Agree,9,Tax plus subsidy acts on two fronts
"Portes, Richard",Strongly Disagree,7,Budget constraint
"Prendergast, Canice",Agree,6,
"Reichlin, Lucrezia",Did Not Answer,,
"Repullo, Rafael",Disagree,6,
"Rey, Hélène",Strongly Disagree,7,Pollution needs to be taxed. Governments need revenues.
"Schoar, Antoinette",Uncertain,7,
"Van Reenen, John",Disagree,5,Carbon taxes can be very effective in steering technical change & doesn't require so direction http://cep.lse.ac.uk/pubs/download/dp1178.pdf
"Vickers, John",Strongly Disagree,4,Activities that generate negative externalities need direct discouragement
"Voth, Hans-Joachim",Uncertain,5,
"Weder di Mauro, Beatrice",Did Not Answer,,
"Whelan, Karl",Did Not Answer,,
"Wyplosz, Charles",Disagree,4,"These are equivalent measures, except that the first one raises the tax burden while the second one reduces it ceteris paribus."
"Zilibotti, Fabrizio",Disagree,8,
