Name,Randomized control trials are a valuable tool for making significant progress in poverty reduction.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Allen, Franklin",Agree,8,They can help identify the uses for new technologies and how they can best be implemented.
"Antras, Pol",Strongly Agree,9,Though again other tools are also valuable.
"Bénassy-Quéré, Agnès",Strongly Agree,10,
"Besley, Timothy J.",Did Not Answer,,
"Blanchard, Olivier",Strongly Agree,7,
"Bloom, Nicholas",Strongly Agree,10,
"Blundell, Richard William",Did Not Answer,,
"Carletti, Elena",Agree,4,
"Danthine, Jean-Pierre",Agree,6,
"De Grauwe, Paul",Uncertain,6,Compared to poverty reductions made possible by institutional reforms (e.g. as implemented in china) those made possible by RCEs are limited
"Eeckhout, Jan",Strongly Agree,8,
"Fehr, Ernst",Agree,9,
"Freixas, Xavier",Did Not Answer,,
"Fuchs-Schündeln, Nicola",Agree,8,"As in any area of research, no one method or approach alone will solve a complex problem. "
"Galí, Jordi",Uncertain,3,
"Giavazzi, Francesco",Strongly Agree,8,
"Griffith, Rachel",Agree,8,
"Guerrieri, Veronica",Strongly Agree,7,
"Guiso, Luigi",Uncertain,7,
"Honohan, Patrick",Agree,8,"For micro interventions; macro/systemwide policy and institutions also needed, though."
"Javorcik, Beata",Uncertain,5,
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",Strongly Agree,10,
"Krahnen, Jan Pieter",Agree,6,The fact that I learn something about causality does not imply implementing isolated changes (of instruments) in the real world is easy. 
"La Ferrara, Eliana",Strongly Agree,10,
"Leuz, Christian",Agree,3,"Pov reduct is complicated process involving mkts, institutions & politics. RCT can help but need many tools, incl. theory, for sign. reduct."
"Mayer, Thierry",Did Not Answer,,
"Meghir, Costas",Did Not Answer,,
"Neary, Peter",Agree,3,Significant? Yes. Quantitatively important? Not in all cases. Need to keep  the Deaton-Pritchett qualifications in mind
"O'Rourke, Kevin",Did Not Answer,,
"Pagano, Marco",Agree,6,
"Pastor, Lubos",Agree,2,
"Persson, Torsten",Did Not Answer,,
"Pissarides, Christopher",Did Not Answer,,
"Portes, Richard",Disagree,6,
"Prendergast, Canice",Agree,6,
"Reichlin, Lucrezia",Uncertain,3,
"Repullo, Rafael",Did Not Answer,,
"Rey, Hélène",Did Not Answer,,
"Schoar, Antoinette",Agree,9,"Limits to the impact of RCTs arise if decisionmakers do not act on the information generated, macro distortions cannot be tested with RCTs."
"Sturm, Daniel",Strongly Agree,10,
"Van Reenen, John",Strongly Agree,10,
"Vickers, John",Agree,3,
"Voth, Hans-Joachim",Uncertain,8,"external validity is a real concern with all RCTs, as Duflo and Banerjee also argue (""The plumbing matters"")"
"Weder di Mauro, Beatrice",Agree,5,
"Whelan, Karl",Did Not Answer,,
"Wyplosz, Charles",Strongly Agree,5,
"Zilibotti, Fabrizio",Did Not Answer,,
