Name,"Residents of big European cities would be better off, on balance, if governments did more to counter gentrification, for example by using rent and other housing subsidies, public housing investments, zoning regulations, or similar policies.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Allen, Franklin",Did Not Answer,,
"Antras, Pol",Uncertain,4,
"Bénassy-Quéré, Agnès",Uncertain,5,Difficult in practice since housing subsidies may be captured while public housing may end up crowding out the middle class.
"Besley, Timothy J.",Did Not Answer,,
"Blanchard, Olivier",Uncertain,9,"On net, having cities with social and economic diversity is a good thing.  But some residents will benefit, others will lose.  "
"Bloom, Nicholas",Disagree,7,Rent control
"Blundell, Richard William",Did Not Answer,,
"Carletti, Elena",Agree,3,
"Danthine, Jean-Pierre",Strongly Agree,2,
"De Grauwe, Paul",Did Not Answer,,
"Eeckhout, Jan",Disagree,8,
"Fehr, Ernst",Did Not Answer,,
"Freixas, Xavier",Did Not Answer,,
"Fuchs-Schündeln, Nicola",Did Not Answer,,
"Galí, Jordi",Uncertain,6,
"Garicano, Luis",Did Not Answer,,
"Giavazzi, Francesco",Agree,7,
"Griffith, Rachel",Agree,4,
"Guerrieri, Veronica",Uncertain,7,
"Guiso, Luigi",Uncertain,5,
"Honohan, Patrick",Uncertain,1,Some interventions clearly desirable; potential for dysfunctional action also evident. 
"Javorcik, Beata",No Opinion,,
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",Disagree,8,
"Krahnen, Jan Pieter",Agree,6,"Too homogeneous a neighborhood in inner cities, as wel as in ""les banlieues"", may undermine cohesion and solidarity in society at large."
"Krusell, Per",Strongly Disagree,2,"A solid public education system is important, as is public health, in my view. Paying people to live in certain areas is more questionable."
"La Ferrara, Eliana",Did Not Answer,,
"Leuz, Christian",Uncertain,6,"Concerned about gentrification, but not much evidence on benefits of policies to counter it; have evidence policies have non-trivial costs."
"Mayer, Thierry",Uncertain,9,
"Meghir, Costas",Uncertain,8,
"Neary, Peter",Did Not Answer,,
"O'Rourke, Kevin",No Opinion,,
"Pagano, Marco",No Opinion,,
"Pastor, Lubos",Disagree,3,
"Persson, Torsten",Uncertain,4,
"Pissarides, Christopher",Disagree,3,In principle the suggestion sounds good but governments are unlike to do a good job and the result will be worse than before 
"Portes, Richard",Disagree,5,
"Prendergast, Canice",Disagree,6,
"Reichlin, Lucrezia",Agree,4,
"Repullo, Rafael",Disagree,4,
"Rey, Hélène",Uncertain,8,"Subsidizing demand is not a good idea. Increasing supply (public housing, zoning) is."
"Schoar, Antoinette",Disagree,8,
"Sturm, Daniel",Disagree,4,
"Van Reenen, John",Disagree,6,
"Vickers, John",Disagree,3,
"Voth, Hans-Joachim",Disagree,7,
"Weder di Mauro, Beatrice",Did Not Answer,,
"Whelan, Karl",Did Not Answer,,
"Wyplosz, Charles",Agree,3,
"Zilibotti, Fabrizio",No Opinion,,
