Last Name,First Name,"Under a fixed exchange rate and fully liberalized capital flows, a country loses domestic control of monetary policy.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Agree,5,This is the conventional wisdom but it depends on an absence of frictions. If there are market imperfections that act as barriers maybe not.
Antras,Pol,Strongly Agree,8,
Bandiera,Oriana,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,9,
Bloom,Nicholas,Strongly Agree,9,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Uncertain,3,
Danthine,Jean-Pierre,Strongly Agree,9,
De Grauwe,Paul,Did Not Answer,,
Eeckhout,Jan,Agree,6,
Fehr,Ernst,No Opinion,,
Freixas,Xavier,Strongly Agree,5,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Strongly Agree,9,
Giavazzi,Francesco,Did Not Answer,,
Griffith,Rachel,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Strongly Agree,8,Mundell showed it
Guriev,Sergei,Agree,8,
Honohan,Patrick,Uncertain,10,Poorly designed monetary policy actions can do much damage especially if the exchange rate regime is a peg. Including to destroy the peg!
Javorcik,Beata,Strongly Agree,9,
Kőszegi,Botond,No Opinion,,
Krahnen,Jan Pieter,Disagree,5,"The statement is true to a certain degree only. Therefore, MP still has impact albeit less than under a flexible exchange rate system.  "
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Agree,2,
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,No Opinion,,
Pagano,Marco,Agree,6,
Pastor,Lubos,Agree,7,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Disagree,10,Macroprudential policies can offer some protection and hence some autonomy.
Prendergast,Canice,Agree,6,
Propper,Carol,Did Not Answer,,
Rasul,Imran,Did Not Answer,,
Reichlin,Lucrezia,Agree,8,
Reis,Ricardo,Strongly Agree,9,"The question said ""fully liberalized"". Understanding that as meaning that UIP holds exactly, then this is a theorem"
Repullo,Rafael,Strongly Agree,4,
Rey,Hélène,Strongly Agree,9,
Schoar,Antoinette,Agree,9,
Storesletten,Kjetil,Agree,8,
Sturm,Daniel,Did Not Answer,,
Van Reenen,John,Did Not Answer,,
Vickers,John,Agree,5,
Voth,Hans-Joachim,Agree,7,
Whelan,Karl,Agree,7,I believe the evidence favours this interpretation.
Wyplosz,Charles,Strongly Agree,10,"Unless it is a large country like the US and, maybe, the eurozone."
Zilibotti,Fabrizio,Agree,5,
