Last Name,First Name,"For emerging and developing economies open to the world capital market, a flexible exchange rate confers little advantage over a pegged exchange rate in terms of economic stability.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,4,Depends on the volatility of the exchange rate in a floating regime. This is uncertainty may act as a barrier.
Antras,Pol,Disagree,6,Especially over a hard peg.
Bandiera,Oriana,Did Not Answer,,
Blanchard,Olivier,Disagree,9,if combined with restrictions on capital flows
Bloom,Nicholas,Uncertain,9,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Uncertain,2,
Danthine,Jean-Pierre,Agree,9,
De Grauwe,Paul,Did Not Answer,,
Eeckhout,Jan,Agree,6,
Fehr,Ernst,No Opinion,,
Freixas,Xavier,No Opinion,,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Disagree,8,
Giavazzi,Francesco,Did Not Answer,,
Griffith,Rachel,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Uncertain,5,
Guriev,Sergei,Disagree,8,
Honohan,Patrick,Agree,10,
Javorcik,Beata,Disagree,6,
Kőszegi,Botond,No Opinion,,
Krahnen,Jan Pieter,Disagree,5,"In this generality, the statement is wrong. Eventually it all depends on the underlying economic policy pursued."
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Uncertain,2,
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,No Opinion,,
Pagano,Marco,Agree,6,
Pastor,Lubos,Uncertain,6,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,10,
Prendergast,Canice,Uncertain,6,
Propper,Carol,Did Not Answer,,
Rasul,Imran,Did Not Answer,,
Reichlin,Lucrezia,Agree,8,
Reis,Ricardo,Strongly Disagree,8,
Repullo,Rafael,Disagree,4,
Rey,Hélène,Disagree,9,"Depends on monetary framework, on size of country, on openness. Flexible exchange rates by themselves not enough for macro stabilisation."
Schoar,Antoinette,Uncertain,9,depends on many factors including the ability of the domestic CB to control inflation
Storesletten,Kjetil,Agree,3,
Sturm,Daniel,Did Not Answer,,
Van Reenen,John,Did Not Answer,,
Vickers,John,Uncertain,3,
Voth,Hans-Joachim,Disagree,7,
Whelan,Karl,Uncertain,5,Picking the right regime is hard. Pegs can be unstable while flexible exchange rates can be volatile. There isn't always one right answer.
Wyplosz,Charles,Agree,8,
Zilibotti,Fabrizio,Agree,5,
