Last Name,First Name,The key feature making the US a more natural optimum currency area than the euro area is higher labor mobility.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,4,It's one of the key features but there are others like a single federal authority with significant economic powers of taxing and spending.
Antras,Pol,Uncertain,7,"Labor mobility in the US is not as large as most people believe. It is also key that US is not just a currency union but also a ""tax union""."
Bandiera,Oriana,Did Not Answer,,
Blanchard,Olivier,Agree,8,fiscal union not far behind
Bloom,Nicholas,Strongly Disagree,10,"It is the political and fiscal union. Labor mobility is a factor, but the third or fourth important, not the key reason. "
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Agree,2,
Danthine,Jean-Pierre,Strongly Agree,9,
De Grauwe,Paul,Did Not Answer,,
Eeckhout,Jan,Agree,7,
Fehr,Ernst,No Opinion,,
Freixas,Xavier,Strongly Agree,8,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Agree,8,Together with fiscal redistribution through the federal government
Giavazzi,Francesco,Did Not Answer,,
Griffith,Rachel,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Uncertain,7,
Guriev,Sergei,Agree,6,
Honohan,Patrick,Disagree,10,National political identities in euro area create additional problems going well beyond labor immobility.
Javorcik,Beata,Strongly Agree,10,
Kőszegi,Botond,No Opinion,,
Krahnen,Jan Pieter,Disagree,5,"The comparison between US and Euro area misses out on the key point, that defines OCA: the fiscal and political unity. "
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Uncertain,2,"Clearly an important feature, but not clear it is most important one. Other markets, language, institutions & fiscal system matter too."
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,No Opinion,,
Pagano,Marco,Agree,7,
Pastor,Lubos,Agree,8,"A fiscal union helps, too."
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Disagree,10,Financial development and financial integration more important.
Prendergast,Canice,Agree,7,
Propper,Carol,Did Not Answer,,
Rasul,Imran,Did Not Answer,,
Reichlin,Lucrezia,Strongly Disagree,9,
Reis,Ricardo,Agree,6,"Other features matter as well, for instance the fiscal union or the relative efficiency of the allocation of capital flows."
Repullo,Rafael,Uncertain,4,
Rey,Hélène,Disagree,9,Fiscal transfers are key for a stable currency area. Optimality unclear.
Schoar,Antoinette,Strongly Disagree,9,"there are many other factors across the EU, including lack of a fiscal union, differences in social services and regulatory standards "
Storesletten,Kjetil,Uncertain,3,
Sturm,Daniel,Did Not Answer,,
Van Reenen,John,Did Not Answer,,
Vickers,John,Uncertain,4,Labour mobility is certainly a key feature but so is political/fiscal integration
Voth,Hans-Joachim,Disagree,8,
Whelan,Karl,Strongly Agree,10,Political union is what makes the US a more natural optimum currency area. It would be strange if the US had multiple regional currencies.
Wyplosz,Charles,Agree,10,"But also little regional heterogeneity of preferences, a common fiscal policy and an enforced no-bailout rule."
Zilibotti,Fabrizio,Uncertain,5,
