Name,Giving tax incentives to specific firms to locate operations in a country typically generates domestic benefits that outweigh the costs to the country providing the incentives.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
"Aghion, Philippe",Did Not Answer,,
"Allen, Franklin",Uncertain,5,Difficult to answer such a general question - more information about the particular circumstances is required.
"Antras, Pol",Uncertain,7,"There is evidence of positive effects of attracting firms (esp. via backward linkages), but hard to compare estimated gains to tax breaks"
"Baldwin, Richard",Disagree,5,
"Bénassy-Quéré, Agnès",Disagree,8,Even in distressed areas this kind of policy gets poor results.
"Besley, Timothy J.",Uncertain,8,It rides on whether the tax incentives are targeted towards industries with high spillovers.  
"Blanchard, Olivier",Uncertain,9,"it depends on the demand elasticity. There are cases where it is greater than one, but cases where it is less.  ``typically'' is too strong"
"Bloom, Nicholas",Disagree,6,Providing incentives to firms is highly risky in terms of corruption and distortions of government incentives.
"Blundell, Richard William",Disagree,8,"Apart from encouraging some initial start-ups in a field, firm specific subsidies very likely distort production and reduce overall income. "
"Carletti, Elena",Agree,7,this seems to be proved by countries like Ireland or Luxembourg where fiscal advantages to firms seem to be beneficial 
"Danthine, Jean-Pierre",Agree,6,It is a matter of self-interest for the region itself but there may be circumstances where the region's interests are not well represented.
"De Grauwe, Paul",Agree,7,
"Eeckhout, Jan",Disagree,7,
"Fehr, Ernst",Uncertain,5,
"Freixas, Xavier",Strongly Disagree,5,"This is a beggar-thy-neighbour policy, so it would be correct only provided the other countries do not reciprocate"
"Fuchs-Schündeln, Nicola",Uncertain,6,
"Galí, Jordi",Agree,8,At least in expectation the benefits should be positive if the deal is offered by a central authority.
"Garicano, Luis",Did Not Answer,,
"Giavazzi, Francesco",Did Not Answer,,
"Griffith, Rachel",Disagree,9,"In many cases incentives go to firms that would choose that location in the absence of the incentives, so the costs outweigh the benefits."
"Guerrieri, Veronica",Agree,7,
"Guiso, Luigi",Uncertain,4,very much depends on the specific of the tax incentives; they may well be grabbed by rent  seeking firms
"Hellwig, Martin",Did Not Answer,,
"Honohan, Patrick",Disagree,5,Competition between locations means that firm collects the rent.
"Kleven, Henrik",Uncertain,9,Cannot be answered without information on exact tax parameters & conclusive estimates of firm location elasticities (which aren't available)
"Kőszegi, Botond",Agree,5,
"Krahnen, Jan Pieter",Agree,7,"While benefits are consummated locally, negative externalities and allocative distortions are largely outside the country. "
"Krusell, Per",Strongly Disagree,7,this is good policy only if the government is able to select the right companies - which it is typically not
"La Ferrara, Eliana",Uncertain,2,
"Leuz, Christian",Uncertain,3,Can be local benefits but unclear politicians offer tax incentives only when net beneficial locally. Governmental agency problems get in way
"Meghir, Costas",Uncertain,1,
"Neary, Peter",Disagree,8,Providing information and helping foreign firms cope with bureaucracy are desirable; direct grants are unlikely to match their full costs
"O'Rourke, Kevin",Uncertain,8,"It depends on the nature of the incentives and the nature of firms. Targeting sectors presumably better than targeting ""specific firms""."
"Pagano, Marco",Uncertain,3,"Providing such incentives may simply induce other jurisdictions to angage in the same behavior, and so eventually benefit   only firms."
"Pastor, Lubos",Agree,5,
"Persson, Torsten",Disagree,5,"The question seems to suppose unilateral action, but a lack of foreign resoponse at is unrealistic. "
"Pissarides, Christopher",Uncertain,7,"Whether it does or not depends on many other factors, such as infrastructure suitable for the firm's operations"
"Portes, Richard",Agree,5,Ireland is a positive example. But many emerging markets countries are counter examples.
"Prendergast, Canice",Agree,8,
"Reichlin, Lucrezia",Agree,5,
"Repullo, Rafael",Agree,4,
"Rey, Hélène",Agree,7,Luxembourg and Ireland are good examples...
"Schoar, Antoinette",Uncertain,7,
"Van Reenen, John",Disagree,7,"Most of benefits are typically appropriated by firms themselves. Best way to get FDI is to improve skills, rule of law, local public goods"
"Vickers, John",Uncertain,5,Risks of over-estimating value of inducing location and of 'overpaying' for it.
"Voth, Hans-Joachim",Uncertain,5,distortionary effects on factor markets are rarely accounted for
"Weder di Mauro, Beatrice",Disagree,6,
"Whelan, Karl",Uncertain,5,"This can be true but governments aren't always great at ""picking winners."" Some special local tax rates are probably just bad ideas."
"Wyplosz, Charles",Agree,9,Ireland says it all. 
"Zilibotti, Fabrizio",Agree,3,
