Last Name,First Name,Q10,Q12,Q14
Last Name,First Name,The objectives set for the ECB by Treaty should make maximum sustainable employment of equal importance as price stability.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,It's a complex question with political as well as economic aspects. Having employment as an important secondary target may be better.
Antras,Pol,Uncertain,5,
Blanchard,Olivier,Strongly Agree,9,"minimizing the output gap is more important than minimizing distance of inflation to target.   Fortunately, they largely coincide. "
Bloom,Nicholas,Uncertain,10,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Uncertain,6,
Danthine,Jean-Pierre,Disagree,9,
De Grauwe,Paul,Disagree,7,
Eeckhout,Jan,Agree,6,
Fehr,Ernst,Uncertain,5,
Freixas,Xavier,Strongly Agree,6,
Fuchs-Schündeln,Nicola,Agree,8,
Galí,Jordi,Agree,8,"Even though the current emphasis on the inflation objective as a ""medium term"" objective already allows for that."
Giavazzi,Francesco,Agree,8,
Griffith,Rachel,No Opinion,,
Guerrieri,Veronica,Strongly Agree,9,
Guiso,Luigi,Uncertain,7,
Honohan,Patrick,Agree,10,"This is not as crucial as is often supposed, especially if inflation target becomes symmetrical."
Javorcik,Beata,Did Not Answer,,
Kőszegi,Botond,Did Not Answer,,
Krahnen,Jan Pieter,Strongly Disagree,6,"Treaty is wise and respects Tinbergen rule. If you want more employment, use fiscal measures or, again, a better Ordnungspolitik. "
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Disagree,2,"While I can see arguments for Fed or BoE, it would be much harder for ECB w/ so many euro ctrys, emply better addressed with fiscal policies"
Mayer,Thierry,Agree,5,
Meghir,Costas,Agree,9,
Neary,Peter,Did Not Answer,,
Pagano,Marco,Strongly Agree,7,"In this sense, its statutory mandate should be made more similar to that of the Fed. In practice it already pursued this objective too."
Pastor,Lubos,Did Not Answer,,
Persson,Torsten,Uncertain,5,
Pissarides,Christopher,Agree,10,employment should be taken into account but maybe not as much weight on it as price stability
Portes,Richard,Strongly Agree,9,
Prendergast,Canice,Uncertain,8,
Rasul,Imran,Agree,5,
Reichlin,Lucrezia,Disagree,9,Flex IT and commitment to nominal GDP targeting path best way to minimise output vol in short run and achieve price stability in medium run
Repullo,Rafael,No Opinion,,An irrelevant hypothetical question: The Treaty is not going to be changed anytime soon. 
Rey,Hélène,Disagree,9,ECB has a legal obligation to support the [EU’s] general economic policies; objectives laid down in Article 3 of the Treaty.so more general
Schoar,Antoinette,Disagree,10,central banks do not have tools to achieve long run employment goals. 
Sturm,Daniel,Uncertain,3,
Van Reenen,John,Disagree,6,
Vickers,John,Disagree,9,"Monetary policy can best contribute to maximum sustainable employment by maintaining price stability, so that should be primary"
Voth,Hans-Joachim,Disagree,7,
Whelan,Karl,Uncertain,5,Tricky one. I'm not sure ECB and the Fed really behave much differently despite different mandates. Treaty Change is impossible anyway.
Wyplosz,Charles,Uncertain,9,"Yeah, sure, it sounds nice. But we don't know how to measure maximum sustainable unemployment. And unemployment is not just a macro variable"
Zilibotti,Fabrizio,Did Not Answer,,
