Last Name,First Name,"A national economic boom based on natural resources is likely to harm other sectors of the economy, particularly manufacturing firms.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,The outcome depends on a number of characteristics such as the size of the economy. Result my hold for small ones but maybe not large ones.
Antras,Pol,Strongly Agree,8,"This is one of Peter Neary’s great contributions to Economics, particularly exploring various channels through which it can happen. RIP."
Bandiera,Oriana,Did Not Answer,,
Blanchard,Olivier,Agree,7,
Bloom,Nicholas,Agree,7,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Disagree,4,
Danthine,Jean-Pierre,Agree,8,Although appropriate policies can be used to counter the impact.
De Grauwe,Paul,Did Not Answer,,
Eeckhout,Jan,Agree,6,
Fehr,Ernst,Uncertain,3,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,4,
Galí,Jordi,Did Not Answer,,
Giavazzi,Francesco,Uncertain,5,
Griffith,Rachel,Uncertain,2,
Guerrieri,Veronica,Agree,6,
Guiso,Luigi,Agree,8,
Guriev,Sergei,Uncertain,8,The impact on other sectors depends on the quality of economic and political institutions and on policy response to the boom.
Honohan,Patrick,Agree,7,"Due not only to sectoral competition for labour, but also to the way natural resources tend to attract venal politicians."
Javorcik,Beata,Agree,8,
Kőszegi,Botond,Agree,6,
Krahnen,Jan Pieter,Uncertain,4,It all depends whether or not the other sectors can adjust smoothly to the rise in factor prices driven by the boom in some sectors.
La Ferrara,Eliana,Agree,5,
Leuz,Christian,Agree,3,
Mayer,Thierry,Strongly Agree,9,
Meghir,Costas,Uncertain,9,
Pagano,Marco,Agree,4,"It very much depends on the economic policy response: see Norway as a counter-example to the well-known ""curse of raw materials""..."
Pastor,Lubos,Agree,4,
Persson,Torsten,Uncertain,6,"Hinges on economic and political structure (resource curse can operate via politics). Norway may not be hit, even though Nigeria may be. "
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Agree,8,
Prendergast,Canice,Uncertain,7,
Propper,Carol,Did Not Answer,,
Rasul,Imran,Agree,5,
Reichlin,Lucrezia,Did Not Answer,,
Reis,Ricardo,Uncertain,7,"It seems to depend on the country's circumstances, and especially on the policies adopted in response."
Repullo,Rafael,Agree,4,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Did Not Answer,,
Storesletten,Kjetil,Strongly Disagree,9,Manufacturing firms can benefit from a resource boom if they can provide equipment servicing resource industry. Norway provides an example
Sturm,Daniel,Agree,8,
Van Reenen,John,Agree,6,
Vickers,John,Agree,4,
Voth,Hans-Joachim,Agree,4,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,9,"aka Dutch Disease. Unless government owns resource and invest proceeding abroad, the Norwegian way."
Zilibotti,Fabrizio,Agree,7,
