Last Name,First Name,Large salaries for senior business executives are less a reflection of an individual’s current contribution to a firm’s overall performance than a ‘prize’ for those who put in the effort to achieve one of the top positions.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,Again a contentious area.  Seems to be a complex issue.  
Antras,Pol,Agree,7,
Bandiera,Oriana,Agree,10,
Blanchard,Olivier,Did Not Answer,,
Bloom,Nicholas,Uncertain,7,"They are a combination of both - the tournament pay-off and an incentive to keep working. Indeed, this is critical for evaluating CEO pay."
Blundell,Richard William,Agree,5,
Carletti,Elena,No Opinion,,
Danthine,Jean-Pierre,Did Not Answer,,
De Grauwe,Paul,Agree,7,
Eeckhout,Jan,Agree,5,
Fehr,Ernst,No Opinion,,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,8,
Galí,Jordi,No Opinion,,
Giavazzi,Francesco,Disagree,7,
Griffith,Rachel,Uncertain,5,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Uncertain,8,
Guriev,Sergei,Uncertain,3,
Honohan,Patrick,Agree,1,Interpreting this question as including other causes for such remuneration being disconnected from marginal contribution to firm performance
Javorcik,Beata,Agree,5,
Kőszegi,Botond,Agree,4,
Krahnen,Jan Pieter,Uncertain,1,
La Ferrara,Eliana,No Opinion,,
Leuz,Christian,Agree,5,"JEP below by Lazear (section on Relative Pay and Tournament Theory) w/ evidence. Other factors (incl. ""luck"") can play role too - see links."
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Agree,8,
Neary,Peter,Agree,5,"With some allowance for performance bonuses, the statement is accurate for many organizations. This is not necessarily desirable though"
Pagano,Marco,Agree,8,
Pastor,Lubos,Uncertain,5,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Agree,8,
Portes,Richard,Agree,5,
Prendergast,Canice,Disagree,8,
Propper,Carol,Strongly Agree,7,
Rasul,Imran,Agree,7,
Reichlin,Lucrezia,Agree,3,
Repullo,Rafael,Disagree,4,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Uncertain,8,If tournament component of salary is more important than compensation for effort depends on context. Goes back to Lazear/Rosen (1981) 
Storesletten,Kjetil,Agree,5,"Wages for top executives reflect firms’ competition for top talent as well as long-term aspects of contracts, including tournaments"
Sturm,Daniel,Uncertain,3,
Van Reenen,John,Uncertain,5,
Vickers,John,Uncertain,4,
Voth,Hans-Joachim,Agree,7,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,Agree,2,
Zilibotti,Fabrizio,Did Not Answer,,
