Name,Most European countries have larger social welfare systems than the United States in part because the latter is more heterogeneous by race and ethnicity.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Allen, Franklin",Disagree,6,I don't think that's the reason.  It's not based on definite evidence that I am aware of though.
"Antras, Pol",Agree,7,"I think Alberto convinced most of us that this is part of the reason. Of course, there are many other reasons why."
"Blanchard, Olivier",Uncertain,5,
"Bloom, Nicholas",Uncertain,2,
"Blundell, Richard William",Uncertain,5,Isn't it more about the underlying inequalities by race and ethnicity in the US rather than race and ethnicity itself?
"Carletti, Elena",Did Not Answer,,
"Danthine, Jean-Pierre",Uncertain,5,
"De Grauwe, Paul",Agree,6,"Alesin and Glaeser,"
"Eeckhout, Jan",Uncertain,6,
"Fehr, Ernst",Agree,10,
"Freixas, Xavier",Did Not Answer,,
"Fuchs-Schündeln, Nicola",Agree,8,
"Galí, Jordi",Agree,6,That's one of the messages from Alberto Alesina's research.
"Giavazzi, Francesco",Strongly Agree,9,
"Griffith, Rachel",Uncertain,1,
"Guerrieri, Veronica",Agree,8,
"Guiso, Luigi",Agree,7,
"Honohan, Patrick",Agree,5,
"Javorcik, Beata",Agree,5,
"Kőszegi, Botond",Did Not Answer,,
"Krahnen, Jan Pieter",Disagree,6,
"La Ferrara, Eliana",Uncertain,8,
"Leuz, Christian",Agree,5,The first paper by Alesina et al referenced below examines exactly this question and there are several follow-ups with further support.
"Mayer, Thierry",Uncertain,3,
"Meghir, Costas",Uncertain,7,
"Neary, Peter",Agree,5,The sad passing of Alberto Alesina reminds us of his work showing this; though ideology and public perceptions of heterogeneity also matter
"O'Rourke, Kevin",Uncertain,5,
"Pagano, Marco",Disagree,5,
"Pastor, Lubos",Strongly Agree,6,
"Persson, Torsten",Agree,8,
"Pissarides, Christopher",Did Not Answer,,
"Portes, Richard",Uncertain,3,
"Prendergast, Canice",Uncertain,8,
"Reichlin, Lucrezia",Uncertain,6,
"Repullo, Rafael",Agree,4,
"Rey, Hélène",Uncertain,6,
"Schoar, Antoinette",Disagree,7,
"Sturm, Daniel",Uncertain,2,
"Van Reenen, John",Disagree,5,
"Vickers, John",Uncertain,2,
"Voth, Hans-Joachim",Strongly Agree,9,
"Weder di Mauro, Beatrice",Did Not Answer,,
"Whelan, Karl",Did Not Answer,,
"Wyplosz, Charles",Strongly Agree,9,"Thanks, Alberto, now we understand."
"Zilibotti, Fabrizio",Agree,6,
