Name,Laws to prevent high prices for essential goods in short supply in a crisis would raise social welfare.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Allen, Franklin",Uncertain,5,Again a very difficult issue.
"Antras, Pol",Agree,5,But I can only see this working on a very temporary basis.
"Bénassy-Quéré, Agnès",Agree,5,Only if some technology is available to distribute the goods evenly.
"Blanchard, Olivier",Agree,8,This might decrease supply and be costly.  But rationing may get the goods to those who have the most time and need. 
"Bloom, Nicholas",Uncertain,10,Pros and cons
"Blundell, Richard William",Did Not Answer,,
"Carletti, Elena",Agree,6,
"Danthine, Jean-Pierre",Agree,6,
"De Grauwe, Paul",Agree,8,
"Eeckhout, Jan",Agree,6,
"Fehr, Ernst",Uncertain,6,
"Freixas, Xavier",Did Not Answer,,
"Fuchs-Schündeln, Nicola",Did Not Answer,,
"Galí, Jordi",Disagree,6,
"Giavazzi, Francesco",Disagree,6,
"Griffith, Rachel",Strongly Agree,9,
"Guerrieri, Veronica",Uncertain,8,
"Guiso, Luigi",Uncertain,4,
"Honohan, Patrick",Uncertain,1,May need more than price control laws to improve allocation in such circumstances
"Javorcik, Beata",Agree,9,
"Kőszegi, Botond",Uncertain,10,
"Krahnen, Jan Pieter",Disagree,6,"Price ceilings would deter production, without necessary implications for allocation, hence ceilings will lead to welfare losses."
"La Ferrara, Eliana",Agree,3,
"Leuz, Christian",Disagree,5,There are equity or inequality issues related to price gouging but they can be (better) addressed with policy in question 3. 
"Mayer, Thierry",Did Not Answer,,
"Meghir, Costas",Disagree,8,Again the price mechanism will ensure entry where most needed. Government subsidies can solve the affordability problem.
"Neary, Peter",Agree,5,"Same response applies as to A): on both efficiency and equity grounds, allocating by quantity not price is better in a crisis"
"O'Rourke, Kevin",Uncertain,6,
"Pagano, Marco",Disagree,7,"The government should provide financial support to poor people who cannot afford such goods, rather than tring to control their price."
"Pastor, Lubos",Uncertain,3,
"Persson, Torsten",Disagree,4,
"Pissarides, Christopher",Disagree,8,Let prices rise but government should subsidise purchases by lower income groups 
"Portes, Richard",Strongly Agree,8,
"Prendergast, Canice",Agree,8,
"Reichlin, Lucrezia",Agree,3,
"Repullo, Rafael",Disagree,6,
"Rey, Hélène",Did Not Answer,,
"Schoar, Antoinette",Disagree,9,"if production capacity is, fixed high prices equal rents and can be regulated. but if not, firms need incentives to invest in new capacity"
"Sturm, Daniel",Uncertain,5,
"Van Reenen, John",Agree,1,
"Vickers, John",Uncertain,5,It depends how good the rationing mechanism is.  And beware adverse supply response.  
"Voth, Hans-Joachim",Uncertain,10,
"Weder di Mauro, Beatrice",Did Not Answer,,
"Whelan, Karl",Disagree,5,Even if there was a theoretical argument for this (and that's unclear) price restrictions are hard to enforce in practice.
"Wyplosz, Charles",Disagree,4,Isn't it better to provide support to the people with low income and those who lost their jobs (as many countries actually do)?
"Zilibotti, Fabrizio",Did Not Answer,,
