Name,"A switch from quarterly to annual earnings reports would, on net, benefit shareholders of European firms.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Allen, Franklin",Uncertain,5,This is an interesting trade-off. I am afraid I am not sufficiently knowledgeable about this to give a meaningful opinion.
"Antras, Pol",Uncertain,5,
"Bénassy-Quéré, Agnès",Uncertain,5,Depends on their time horizon.
"Besley, Timothy J.",Did Not Answer,,
"Blanchard, Olivier",Agree,3,
"Bloom, Nicholas",Strongly Disagree,8,"This would reduce corporate Governance, reducing firm profits and growth, to the detriment of shareholders, workers and the public."
"Blundell, Richard William",Uncertain,4,
"Carletti, Elena",Did Not Answer,,
"Danthine, Jean-Pierre",Agree,8,
"De Grauwe, Paul",Did Not Answer,,
"Eeckhout, Jan",Uncertain,6,
"Fehr, Ernst",Uncertain,4,
"Freixas, Xavier",Strongly Disagree,7,
"Fuchs-Schündeln, Nicola",Uncertain,3,
"Galí, Jordi",Disagree,5,
"Garicano, Luis",Did Not Answer,,
"Giavazzi, Francesco",No Opinion,,
"Griffith, Rachel",Did Not Answer,,
"Guerrieri, Veronica",Did Not Answer,,
"Guiso, Luigi",Did Not Answer,,
"Honohan, Patrick",Agree,3,But could be scope for informed insiders to exploit long reporting interval at expense of uninformed shareholders.
"Javorcik, Beata",Agree,8,
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",Uncertain,6,
"Krahnen, Jan Pieter",Agree,6,Board-level brain time is redirected to longer horizons - which on balance may benefit shareholders.  
"Krusell, Per",Disagree,4,I just don�t think it would matter much. 
"La Ferrara, Eliana",Uncertain,3,
"Leuz, Christian",Disagree,9,"Even w/ neg on invest, there are offsets. Q rep increases liquidity in secondary mkts&improves monitoring. Quite a few benefits from Q rep."
"Mayer, Thierry",No Opinion,,
"Meghir, Costas",Uncertain,8,
"Neary, Peter",Uncertain,2,"Same answer as to (A), with the added proviso that long-term thinking may be good for society but not necessarily for all shareholders"
"O'Rourke, Kevin",No Opinion,,
"Pagano, Marco",Uncertain,7,
"Pastor, Lubos",Uncertain,5,
"Persson, Torsten",Uncertain,4,
"Pissarides, Christopher",Disagree,5,
"Portes, Richard",Disagree,5,
"Prendergast, Canice",Uncertain,8,
"Reichlin, Lucrezia",Disagree,5,
"Repullo, Rafael",Disagree,8,
"Rey, Hélène",Agree,4,
"Schoar, Antoinette",Strongly Disagree,9,
"Sturm, Daniel",Uncertain,5,
"Van Reenen, John",Uncertain,5,
"Vickers, John",Disagree,4,Shareholders of such firms need more than annual visibility of corporate performance
"Voth, Hans-Joachim",Agree,8,
"Weder di Mauro, Beatrice",Did Not Answer,,
"Whelan, Karl",Disagree,8,Shareholders are better off having access to regular information on the companies they own.
"Wyplosz, Charles",Agree,3,
"Zilibotti, Fabrizio",Did Not Answer,,
