Last Name,First Name,"Allowing short selling of financial securities, such as stocks and government bonds, leads to prices that, on average, are closer to their fundamental values.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,This is the classical theory of price formation and much but not all of the time it works well. But corners and squeezes can prevent this.
Antras,Pol,Agree,6,
Bandiera,Oriana,Agree,5,
Blanchard,Olivier,Agree,5,the usual caveat. the danger of short squeezes. 
Bloom,Nicholas,Strongly Agree,10,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Did Not Answer,,
Danthine,Jean-Pierre,Strongly Agree,7,
De Grauwe,Paul,Agree,7,
Eeckhout,Jan,Agree,7,
Fehr,Ernst,Agree,6,
Freixas,Xavier,Strongly Agree,10,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Agree,6,
Giavazzi,Francesco,Agree,7,
Griffith,Rachel,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Uncertain,5,
Guriev,Sergei,Strongly Agree,8,
Honohan,Patrick,Agree,7,"""On average"" is key.  "
Javorcik,Beata,Agree,6,
Kőszegi,Botond,Did Not Answer,,
Krahnen,Jan Pieter,Agree,7,"If short sellers push stocks away from fundamentals, investor tend to search for facts, and may build up ""repairing"" counter positions. "
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Agree,8,A substantial body of research supports the notion that short selling contributes to price efficiency (rather than hurts). See e.g. below.
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Agree,8,
Neary,Peter,Did Not Answer,,
Pagano,Marco,Strongly Agree,10,"There is ample empirical evidence in support of this claim. See for instance Beber and Pagano, Journal of Finance, 2013."
Pastor,Lubos,Strongly Agree,10,"Otherwise the views of the pessimists are not fully reflected in market prices (e.g., Miller JF 1977)."
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Agree,7,'On average'. But there are well-documented cases in which speculative shorting leads to (intended) divergence from fundamentals.
Prendergast,Canice,Agree,7,
Propper,Carol,Agree,1,
Rasul,Imran,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,
Repullo,Rafael,Strongly Agree,8,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Agree,7,
Storesletten,Kjetil,Strongly Agree,7,
Sturm,Daniel,Uncertain,3,
Van Reenen,John,Agree,5,
Vickers,John,Agree,4,
Voth,Hans-Joachim,Strongly Agree,10,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,Uncertain,2,
Zilibotti,Fabrizio,Did Not Answer,,
