Last Name,First Name,"Regulatory restrictions on short selling - such as no naked shorts, temporary bans in times of crisis - make it difficult for optimists and pessimists to have equal influence on asset prices.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,Bear raids (US) or short attacks (Europe) are not well understood theoretically so difficult to say.
Antras,Pol,Agree,5,
Bandiera,Oriana,Agree,6,
Blanchard,Olivier,Agree,5,but the trade off may be worth it
Bloom,Nicholas,Strongly Agree,9,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Did Not Answer,,
Danthine,Jean-Pierre,Agree,7,
De Grauwe,Paul,Agree,7,
Eeckhout,Jan,Uncertain,5,
Fehr,Ernst,Uncertain,5,
Freixas,Xavier,Strongly Agree,10,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Agree,6,
Giavazzi,Francesco,Uncertain,6,
Griffith,Rachel,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Uncertain,5,
Guriev,Sergei,Strongly Agree,8,Lack of impact of pessimists on prices helps creating bubbles.
Honohan,Patrick,Agree,7,
Javorcik,Beata,Uncertain,3,
Kőszegi,Botond,Did Not Answer,,
Krahnen,Jan Pieter,Strongly Agree,6,That's exactly the point of discussion in the Wirecard case.
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Agree,5,"Not clear how harmful existing restrictions (e.g., lending requirements) are, but evidence suggests that temp. bans are bad idea."
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Agree,8,
Neary,Peter,Did Not Answer,,
Pagano,Marco,Strongly Agree,10,"Again, there is a vast body of empirical evidence supporting this statement."
Pastor,Lubos,Strongly Agree,10,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,8,That's obvious. But such restrictions may nevertheless be justified. Naked shorts -  especially naked CDS - can endanger financial stability
Prendergast,Canice,Agree,4,
Propper,Carol,Agree,1,
Rasul,Imran,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,
Repullo,Rafael,Strongly Agree,8,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Strongly Agree,8,
Storesletten,Kjetil,Uncertain,6,It cuts both ways: facilitating short positions during crisis would allow more information aggregation  but could also feed exuberance
Sturm,Daniel,Uncertain,3,
Van Reenen,John,Disagree,5,
Vickers,John,Agree,4,
Voth,Hans-Joachim,Strongly Agree,10,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,Uncertain,2,
Zilibotti,Fabrizio,Did Not Answer,,
