Name,Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Allen, Franklin",Uncertain,5,I think the issue of stakeholder governance is a very important and much understudied subject.  It has been difficult to publish papers. 
"Antras, Pol",Disagree,3,
"Bénassy-Quéré, Agnès",Uncertain,4,Depends on the horizon of the shareholders and on the regulation.
"Besley, Timothy J.",Strongly Agree,10,
"Blanchard, Olivier",Uncertain,10,Not necessarily.  Depends on distortions in the market and in the economy as a whole.  
"Bloom, Nicholas",Strongly Disagree,7,
"Blundell, Richard William",Did Not Answer,,
"Carletti, Elena",Uncertain,5,
"Danthine, Jean-Pierre",Strongly Agree,9,
"De Grauwe, Paul",Did Not Answer,,
"Eeckhout, Jan",Agree,9,2 caveats: 1 if there are inefficiencies at firm level (market power in output or input); 2 channel may be indirect via equil wages
"Fehr, Ernst",Agree,7,
"Freixas, Xavier",Did Not Answer,,
"Fuchs-Schündeln, Nicola",Did Not Answer,,
"Galí, Jordi",Uncertain,8,
"Giavazzi, Francesco",Strongly Disagree,5,
"Griffith, Rachel",Agree,8,"Pollution the most obvious, but also other social costs."
"Guerrieri, Veronica",Uncertain,5,
"Guiso, Luigi",Uncertain,8,
"Honohan, Patrick",Uncertain,1,"Sometimes does, sometimes not.  When it does, law and regulation can/should be used to counteract."
"Javorcik, Beata",Uncertain,1,
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",Agree,7,
"Krahnen, Jan Pieter",Disagree,7,There is a route to maximizing shareholder value while simultaneously upholding stakeholder utility: That is German Ordnungspolitik. 
"La Ferrara, Eliana",Did Not Answer,,
"Leuz, Christian",Agree,7,"Co should max sh welfare not value. Even Milton F recognized these externalities, need laws & ethics as constraints & perhaps stronger ones."
"Mayer, Thierry",Did Not Answer,,
"Meghir, Costas",Agree,7,
"Neary, Peter",Agree,3,"I agree with this statement, though maximizing shareholder value also encourages efficient profit-making which has social value"
"O'Rourke, Kevin",Uncertain,5,
"Pagano, Marco",Strongly Agree,8,
"Pastor, Lubos",Uncertain,4,True but it creates not only negative but also positive externalities. The net effect varies across firms.
"Persson, Torsten",Uncertain,5,
"Pissarides, Christopher",Agree,7,
"Portes, Richard",Strongly Agree,8,
"Prendergast, Canice",Uncertain,7,
"Reichlin, Lucrezia",Did Not Answer,,
"Repullo, Rafael",Disagree,4,
"Rey, Hélène",Strongly Agree,8,For example carbon is not properly priced. 
"Schoar, Antoinette",Strongly Disagree,9,
"Sturm, Daniel",Agree,7,
"Van Reenen, John",Agree,6,
"Vickers, John",Uncertain,5,Uncertain because much depends on surrounding public policies towards such externalities.
"Voth, Hans-Joachim",Strongly Agree,8,
"Weder di Mauro, Beatrice",Did Not Answer,,
"Whelan, Karl",Uncertain,5,This could be the case (e.g. if profit maximizing involved polluting the environment) but these cases are best dealt with via regulation.
"Wyplosz, Charles",Uncertain,1,
"Zilibotti, Fabrizio",Did Not Answer,,
