Name,"Effective mechanisms for boards of directors to ensure that CEOs act in ways that balance the interests of all stakeholders would be straightforward to introduce.
",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
"Allen, Franklin",Disagree,7,I think it will be very difficult to do in practice. The German system of codetermination may be better.
"Antras, Pol",No Opinion,,
"Bénassy-Quéré, Agnès",Agree,6,
"Besley, Timothy J.",Disagree,6,
"Blanchard, Olivier",Uncertain,8,"I believe in more representation of workers on the board, primarily for information and trust reasons. "
"Bloom, Nicholas",Strongly Disagree,9,
"Blundell, Richard William",Did Not Answer,,
"Carletti, Elena",Uncertain,5,"Introducing such mechanisms would not be straightforward, but something can be done"
"Danthine, Jean-Pierre",Uncertain,7,Regulation and legal mechanisms must be complemented by changes in investors� convictions!
"De Grauwe, Paul",Did Not Answer,,
"Eeckhout, Jan",Agree,8,
"Fehr, Ernst",Uncertain,5,
"Freixas, Xavier",Did Not Answer,,
"Fuchs-Schündeln, Nicola",Did Not Answer,,
"Galí, Jordi",Uncertain,5,
"Giavazzi, Francesco",Disagree,7,
"Griffith, Rachel",Uncertain,6,
"Guerrieri, Veronica",Disagree,6,
"Guiso, Luigi",Disagree,8,
"Honohan, Patrick",Disagree,1,Not even sure current systems guarantee maximum shareholder value
"Javorcik, Beata",Agree,5,
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",Disagree,9,
"Krahnen, Jan Pieter",Disagree,7,Long term profitability will not be maximized when other stakeholders' interests are manifestly violated. 
"La Ferrara, Eliana",Did Not Answer,,
"Leuz, Christian",Disagree,8,It would clearly be difficult but this does not imply that one should not try. There are many difficult governance problems.
"Mayer, Thierry",Did Not Answer,,
"Meghir, Costas",Disagree,6,
"Neary, Peter",Uncertain,4,Regulation is a multi-faceted goal; legistating on the composion of boards of directors may not be a good instrument to achieve it
"O'Rourke, Kevin",Agree,5,
"Pagano, Marco",Uncertain,8,
"Pastor, Lubos",Strongly Disagree,4,
"Persson, Torsten",Uncertain,5,
"Pissarides, Christopher",Agree,8,
"Portes, Richard",Uncertain,5,
"Prendergast, Canice",Strongly Disagree,7,
"Reichlin, Lucrezia",Did Not Answer,,
"Repullo, Rafael",Disagree,4,
"Rey, Hélène",Disagree,7,Needs a lot of information and to design proper incentive mechanisms
"Schoar, Antoinette",Strongly Disagree,10,
"Sturm, Daniel",Disagree,7,
"Van Reenen, John",Disagree,6,
"Vickers, John",Strongly Disagree,4,
"Voth, Hans-Joachim",Agree,6,
"Weder di Mauro, Beatrice",Did Not Answer,,
"Whelan, Karl",Strongly Disagree,8,Why would this be easy? It's a really complex issue.
"Wyplosz, Charles",Agree,1,
"Zilibotti, Fabrizio",Did Not Answer,,
