Last Name,First Name,A wealth tax would be an effective way to reduce inequality.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,"A wealth tax is effective where asset prices are readily available but in many countries, particularly in Europe this is not the case."
Antras,Pol,Strongly Agree,6,"Hard to argue that it would not if properly implemented (i.e., addressing potential loopholes)"
Bandiera,Oriana,Strongly Agree,10,
Blanchard,Olivier,Strongly Agree,8,
Bloom,Nicholas,Uncertain,7,"Wealth taxes have some major distortions, so it would reduce inequality but be economically very costly. Hence I would prefer an income tax."
Blundell,Richard William,Agree,6,
Carletti,Elena,Did Not Answer,,
Danthine,Jean-Pierre,Agree,3,A wealth tax would clearly be a positive move in the intended direction. It will not be a silver bullet.
De Grauwe,Paul,Strongly Agree,8,In order to have strong redistributive effects the wealth tax should have a progressive feature
Eeckhout,Jan,Agree,9,
Fehr,Ernst,Strongly Agree,8,
Freixas,Xavier,Strongly Agree,7,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Agree,6,
Giavazzi,Francesco,Uncertain,8,
Griffith,Rachel,Agree,8,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Disagree,9,main cause of wealth concentration is heterogeneity in returns to wealth; a feasible wealth tax can only lower heterogeneity a bit   
Guriev,Sergei,Agree,7,
Honohan,Patrick,Uncertain,5,"It could be, but history suggests that large loopholes would enable most of the super-rich to avoid it."
Javorcik,Beata,Uncertain,1,
Kőszegi,Botond,Agree,9,
Krahnen,Jan Pieter,Uncertain,4,"A wealth tax will lower inequality only if the resulting wealth transfer/tax avoidance activities do not outweigh the intended effect."
La Ferrara,Eliana,Agree,7,
Leuz,Christian,Uncertain,3,"It is one lever to fight ineq but lots of issues w/implementing WT well. Issues w/progressive consumption tax as alternative too, so unclear"
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Uncertain,9,
Neary,Peter,Strongly Agree,7,
Pagano,Marco,Agree,4,Of course much depends on how it is implemented!
Pastor,Lubos,Disagree,4,"Much wealth is not liquid, not easy to monetize. Also incentives to hide wealth (gold, paintings). "
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Disagree,7,
Portes,Richard,Strongly Agree,6,
Prendergast,Canice,Agree,9,
Propper,Carol,Agree,5,
Rasul,Imran,Agree,6,
Reichlin,Lucrezia,Did Not Answer,,
Repullo,Rafael,Agree,4,The effect on inequality is likely to be small.
Rey,Hélène,Agree,8,
Schoar,Antoinette,Uncertain,8,
Storesletten,Kjetil,Disagree,7,"As a tool for addressing inequality, progressive income taxes is more effective than wealth taxes"
Sturm,Daniel,Did Not Answer,,
Van Reenen,John,Agree,6,
Vickers,John,Uncertain,3,Reform of the hotch-potch of existing capital taxes might be more effective.  Simply adding to the hotch-potch could backfire.
Voth,Hans-Joachim,Disagree,8,The superrich will find ways to avoid it - it will underimne wealth accumulation by the bottom 95%
Whelan,Karl,Strongly Agree,10,Just yes.
Wyplosz,Charles,Uncertain,5,It works but is it the best? 
Zilibotti,Fabrizio,Agree,9,
