Last Name,First Name,"A public policy goal that could be accomplished with a well-enforced wealth tax could be accomplished at lower cost with modifications to existing taxes, such as income tax, capital gains tax, inheritance tax and property tax.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,Probably there's an MM type theorem out there but whether the assumptions are reasonable is doubtful. Monetary policy may be a better way.
Antras,Pol,Uncertain,6,
Bandiera,Oriana,Agree,10,
Blanchard,Olivier,Uncertain,8,"not sure about the  ``lower cost'' part.  there are equivalence theorems, and then it depends on implementation problems. "
Bloom,Nicholas,Strongly Agree,10,Having worked in the UK treasury on tax policy - and dealt with taxes in the real world - details matter. A wealth tax would not work well.
Blundell,Richard William,Agree,4,
Carletti,Elena,Did Not Answer,,
Danthine,Jean-Pierre,Uncertain,3,Other taxes may be more efficient at raising funds. Green taxes may be less distortionary. A wealth tax should be part of the package!
De Grauwe,Paul,Disagree,6,
Eeckhout,Jan,Uncertain,8,
Fehr,Ernst,Disagree,7,
Freixas,Xavier,Disagree,4,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Agree,6,
Giavazzi,Francesco,Agree,8,
Griffith,Rachel,Agree,8,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Uncertain,5,
Guriev,Sergei,Agree,7,
Honohan,Patrick,Agree,5,
Javorcik,Beata,Agree,5,
Kőszegi,Botond,Uncertain,6,
Krahnen,Jan Pieter,Agree,7,
La Ferrara,Eliana,Uncertain,4,
Leuz,Christian,Uncertain,3,"Equivalence w/ capital income tax under some conditions; some arguments in favor of WT (see below), but there are also inher and prop taxes."
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Agree,9,
Neary,Peter,Uncertain,6,"In principle, yes. Raising capital gains tax in particular would tax flows of new wealth. But a wealth tax is still desirable."
Pagano,Marco,Uncertain,4,
Pastor,Lubos,Uncertain,4,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Agree,9,The administration of a wealth tax would be a nightmare and the ones that will get away will be the wealthiest. More money for accountants
Portes,Richard,Uncertain,1,
Prendergast,Canice,Agree,8,
Propper,Carol,Agree,6,
Rasul,Imran,Agree,6,
Reichlin,Lucrezia,Did Not Answer,,
Repullo,Rafael,Uncertain,4,
Rey,Hélène,Uncertain,1,depends on implementation 
Schoar,Antoinette,Strongly Agree,9,
Storesletten,Kjetil,Strongly Agree,8,Property taxes can raise large revenue with small distortions. Use progressive income taxes and dividend taxes to address inequality
Sturm,Daniel,Did Not Answer,,
Van Reenen,John,Agree,6,
Vickers,John,Uncertain,3,
Voth,Hans-Joachim,Agree,9,
Whelan,Karl,Agree,8,There are lots of ways to tax wealth but objections to raising inheritance taxes etc. will be just as strong as objections to a wealth tax.
Wyplosz,Charles,No Opinion,,
Zilibotti,Fabrizio,Disagree,8,
