V3,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9
Name,"Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade.
Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade.
Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.,The physical risks associated with climate change under current policies are likely to threaten financial stability over the next decade.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.
"Allen, Franklin",Did Not Answer,,,,Did Not Answer,,,
"Antras, Pol",Strongly Agree,8,"Seems like a rather inadequate policy tool, even if other coordination mechanisms may not be working. Wrong time horizon too.",,Disagree,6,That's not my reading of the evidence. The threat seems too far in the future to affect financial variable any time soon. But I'm no expert.,
"Bénassy-Quéré, Agnès",Uncertain,5,It is not clear whether these events will have a sizeable impact on inflation.,,Agree,6,Some asset classes may abruptly lose value.,
"Besley, Timothy J.",Did Not Answer,,,,Did Not Answer,,,
"Blanchard, Olivier",Agree,8,"strange question... If there is a major global warming catastrophe, then I suspect this will affect all policies, monetary, fiscal, etc.  ",,Uncertain,8,,
"Bloom, Nicholas",Disagree,6,,,Disagree,7,,
"Blundell, Richard William",Did Not Answer,,,,Did Not Answer,,,
"Carletti, Elena",Uncertain,6,The central banks seem to be aware of the importance of climate risk and thus seem to think already how to incorporate it in their models.,,Agree,7,,
"Danthine, Jean-Pierre",Disagree,7,Serious economic disruptions are likely without significant policy changes to which central banks will have to react.,,Uncertain,6,,
"De Grauwe, Paul",Did Not Answer,,,,Did Not Answer,,,
"Eeckhout, Jan",Uncertain,8,,,Agree,6,,
"Fehr, Ernst",Uncertain,4,,,Disagree,5,,
"Freixas, Xavier",Did Not Answer,,,,Did Not Answer,,,
"Fuchs-Schündeln, Nicola",Uncertain,3,,,Agree,8,,
"Galí, Jordi",Strongly Agree,8,"I don't know if they will be an important factor, but I believe they should not be. There must be better tools to fight CC.",,Uncertain,6,I'd think the next decade is too short a horizon to see any impact.,
"Giavazzi, Francesco",Agree,7,,,Agree,6,,
"Griffith, Rachel",No Opinion,,,,No Opinion,,,
"Guerrieri, Veronica",Uncertain,3,,,Agree,5,,
"Guiso, Luigi",Strongly Agree,9,I do not see why climate change may result in drastic changes in MP ,,Uncertain,5,,
"Honohan, Patrick",Disagree,10,"Maybe quantitatively small, but could be qualitatively significant in retaining public confidence in central banks...",,Agree,7,"Maybe geographically limited in the next decade, but increasingly broad later on.",
"Javorcik, Beata",Strongly Disagree,6,,,No Opinion,,,
"Kleven, Henrik",Did Not Answer,,,,Did Not Answer,,,
"Kőszegi, Botond",No Opinion,,,,Agree,8,,
"Krahnen, Jan Pieter",Uncertain,6,"The answer is ""uncertain"", because I fear political pressure combined with central bank hubris may  lead to action based on a false positive",,Disagree,6,,
"La Ferrara, Eliana",Uncertain,2,,,Agree,3,,
"Leuz, Christian",Uncertain,2,Climate change can certainly create supply shocks that are relevant to monetary policy. Hard to know how large these shocks might be.,https://www.federalreserve.gov/newsevents/speech/brainard20191108a.htm,Uncertain,2,Agree climate change can pose systemic risks. But don't know how likely. There are huge time lags in (nonlinear) physical climate responses.,
"Mayer, Thierry",Did Not Answer,,,,Did Not Answer,,,
"Meghir, Costas",Did Not Answer,,,,Did Not Answer,,,
"Neary, Peter",Uncertain,3,Extreme weather events may destabilize financial markets tho risks from global warming increasing pressure on migration are likely greater,,Uncertain,3,Very hard to forecast,
"O'Rourke, Kevin",Uncertain,1,,,Uncertain,1,,
"Pagano, Marco",Uncertain,2,,,Agree,8,,
"Pastor, Lubos",Agree,8,Not in the next decade. Monetary policy seems most likely to begin paying attention to climate issues in Europe under Lagarde.,,Strongly Disagree,8,"Not in the next decade. Possible, through property insurance, but not likely.",
"Persson, Torsten",Strongly Agree,5,,,Strongly Agree,5,,
"Pissarides, Christopher",Uncertain,10,Big events will require big responses but their occurrence is uncertain,,Uncertain,10,Same as before. Climate change events are unpredictable but their implications can be destabilising,
"Portes, Richard",Strongly Agree,8,,,Disagree,8,,
"Prendergast, Canice",Agree,8,,,Uncertain,7,,
"Reichlin, Lucrezia",Disagree,8,,,Strongly Agree,6,,
"Repullo, Rafael",Agree,8,,,Uncertain,4,,
"Rey, Hélène",Disagree,8,Climate related events can be supply (for some) or demand (for others) shocks. Some are transitory. They affect monetary policy.,,Agree,9,"Portfolios will be affected (stranded assets in particular). Due to uncertainty and procrastination, likely to translate into instability.",
"Schoar, Antoinette",Agree,7,monetary policy is not a useful tool to tackle climate risks. We will need investment in science and regulation of emission standards etc,,Uncertain,6,"Climate change likely affects economic stability/welfare/politics.Financial (in)stability uncertain,depends on speed/predictability ofchange",
"Sturm, Daniel",Agree,4,,,Disagree,4,,
"Van Reenen, John",Agree,6,,,Uncertain,3,,
"Vickers, John",Agree,6,,,Uncertain,8,"If such risks do threaten financial stability, it will be mainly because financial regulation (eg of bank capital) is too weak",
"Voth, Hans-Joachim",Strongly Agree,8,,,Strongly Disagree,7,,
"Weder di Mauro, Beatrice",Disagree,5,,,Uncertain,9,,
"Whelan, Karl",Agree,5,"It's not clear climate change will be a major issue for central banks over this period, particularly given the narrow remit that many have.",,Disagree,3,I could be wrong here. There could be tipping point events where climate emergencies become a major financial issue.,
"Wyplosz, Charles",Agree,4,"For monetary policy stricto sensu, the principle is one instrument-one objective. Going beyond would open a Pandora box.",,Agree,6,,
"Zilibotti, Fabrizio",Did Not Answer,,,,Did Not Answer,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
