Last Name,First Name,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,,,,,,,,,,,
Last Name,First Name,"The introduction of even small trade frictions between neighboring countries can result in significant economic damage, particularly to smaller exporting firms.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,URL(s) associated with your answer.  Please separate multiple URLs with a comma.,"A national economic boom based on natural resources is likely to harm other sectors of the economy, particularly manufacturing firms.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer.  Please separate multiple URLs with a comma.,,,,,,,,,,,
Allen,Franklin,Agree,5,There are complex potential trade-offs here. Frictions can prevent exports but they also prevent imports with an ambiguous net effect.,,Uncertain,5,The outcome depends on a number of characteristics such as the size of the economy. Result my hold for small ones but maybe not large ones.,,,,,,,,,,,,
Antras,Pol,Agree,6,Though significant is a bit of a vague word.,,Strongly Agree,8,"This is one of Peter Neary’s great contributions to Economics, particularly exploring various channels through which it can happen. RIP.",,,,,,,,,,,,
Bandiera,Oriana,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Blanchard,Olivier,Uncertain,1,,,Agree,7,,,,,,,,,,,,,
Bloom,Nicholas,Strongly Agree,8,,,Agree,7,,,,,,,,,,,,,
Blundell,Richard William,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Carletti,Elena,No Opinion,,,,Disagree,4,,,,,,,,,,,,,
Danthine,Jean-Pierre,Uncertain,3,,,Agree,8,Although appropriate policies can be used to counter the impact.,,,,,,,,,,,,
De Grauwe,Paul,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Eeckhout,Jan,Agree,6,,,Agree,6,,,,,,,,,,,,,
Fehr,Ernst,Uncertain,4,,,Uncertain,3,,,,,,,,,,,,,
Freixas,Xavier,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Fuchs-Schündeln,Nicola,Agree,8,,,Agree,4,,,,,,,,,,,,,
Galí,Jordi,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
