Last Name,First Name,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q12,Q14,Q16,,,,
Last Name,First Name,"Allowing short selling of financial securities, such as stocks and government bonds, leads to prices that, on average, are closer to their fundamental values.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,URL(s) associated with your answer.  Please separate multiple URLs with a comma.,Requiring investors to disclose short positions in a stock at the equivalent threshold as they are required to do for long positions would result in significantly less short selling.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer.  Please separate multiple URLs with a comma.,"Regulatory restrictions on short selling - such as no naked shorts, temporary bans in times of crisis - make it difficult for optimists and pessimists to have equal influence on asset prices.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,URL(s) associated with your answer.  Please separate multiple URLs with a comma.,,,,
Allen,Franklin,Agree,7,This is the classical theory of price formation and much but not all of the time it works well. But corners and squeezes can prevent this.,http://ssrn.com/abstract=2977019.,Uncertain,5,This is a difficult question to answer. Depends on the level that is being suggested in the question.,,Uncertain,5,Bear raids (US) or short attacks (Europe) are not well understood theoretically so difficult to say.,,,,,
Antras,Pol,Agree,6,,,Uncertain,5,,,Agree,5,,,,,,
Bandiera,Oriana,Agree,5,,,Agree,6,,,Agree,6,,,,,,
Blanchard,Olivier,Agree,5,the usual caveat. the danger of short squeezes. ,,Agree,5,"it would make short squeezes easier, and thus short sellers more careful. 
",,Agree,5,but the trade off may be worth it,,,,,
Bloom,Nicholas,Strongly Agree,10,,,Uncertain,1,,,Strongly Agree,9,,,,,,
Blundell,Richard William,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Carletti,Elena,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Danthine,Jean-Pierre,Strongly Agree,7,,,Agree,7,... but this would be a good thing!,,Agree,7,,,,,,
De Grauwe,Paul,Agree,7,,,Uncertain,6,,,Agree,7,,,,,,
Eeckhout,Jan,Agree,7,,,Agree,5,,,Uncertain,5,,,,,,
Fehr,Ernst,Agree,6,,,Uncertain,5,,,Uncertain,5,,,,,,
Freixas,Xavier,Strongly Agree,10,,,Strongly Agree,8,,,Strongly Agree,10,,,,,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Galí,Jordi,Agree,6,,,Agree,6,,,Agree,6,,,,,,
Giavazzi,Francesco,Agree,7,,,Uncertain,6,,,Uncertain,6,,,,,,
Griffith,Rachel,No Opinion,,,,No Opinion,,,,No Opinion,,,,,,,
Guerrieri,Veronica,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Guiso,Luigi,Uncertain,5,,,Uncertain,5,,,Uncertain,5,,,,,,
Guriev,Sergei,Strongly Agree,8,,,Uncertain,5,"This is a good idea, long and short positions should be treated symmetrically. But the impact of the  change on short-selling is not clear.",,Strongly Agree,8,Lack of impact of pessimists on prices helps creating bubbles.,,,,,
Honohan,Patrick,Agree,7,"""On average"" is key.  ",,Uncertain,7,"Might discourage some, encourage others.",,Agree,7,,,,,,
Javorcik,Beata,Agree,6,,,No Opinion,,,,Uncertain,3,,,,,,
Kőszegi,Botond,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Krahnen,Jan Pieter,Agree,7,"If short sellers push stocks away from fundamentals, investor tend to search for facts, and may build up ""repairing"" counter positions. ",,Uncertain,5,"Limits on long positions in stocks are far larger than typical short positions taken by individual investors. Thus, they are not binding.",,Strongly Agree,6,That's exactly the point of discussion in the Wirecard case.,,,,,
La Ferrara,Eliana,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Leuz,Christian,Agree,8,A substantial body of research supports the notion that short selling contributes to price efficiency (rather than hurts). See e.g. below.,"https://doi.org/10.1287/mnsc.2013.1872, https://doi.org/10.1093/rfs/hhs097, https://doi.org/10.1111/j.1540-6261.2012.01802.x, https://doi.org/10.1111/j.1540-6261.2007.01270.x",Agree,7,Disclosing shorts is not equivalent to disclosing longs. Short sellers are often intimidated & can be squeezed but serve important role. ,"https://doi.org/10.1016/j.jfineco.2020.07.010, https://doi.org/10.1093/rfs/hhw064",Agree,5,"Not clear how harmful existing restrictions (e.g., lending requirements) are, but evidence suggests that temp. bans are bad idea.","https://doi.org/10.1111/j.1540-6261.2012.01802.x,https://doi.org/10.1093/rfs/hht017, https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12051",,,,
Mayer,Thierry,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Meghir,Costas,Agree,8,,,Uncertain,8,,,Agree,8,,,,,,
Neary,Peter,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Pagano,Marco,Strongly Agree,10,"There is ample empirical evidence in support of this claim. See for instance Beber and Pagano, Journal of Finance, 2013.",,Agree,9,,,Strongly Agree,10,"Again, there is a vast body of empirical evidence supporting this statement.",,,,,
Pastor,Lubos,Strongly Agree,10,"Otherwise the views of the pessimists are not fully reflected in market prices (e.g., Miller JF 1977).",,Disagree,10,,,Strongly Agree,10,,,,,,
Persson,Torsten,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Pissarides,Christopher,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Portes,Richard,Agree,7,'On average'. But there are well-documented cases in which speculative shorting leads to (intended) divergence from fundamentals.,,Agree,7,,,Strongly Agree,8,That's obvious. But such restrictions may nevertheless be justified. Naked shorts -  especially naked CDS - can endanger financial stability,https://voxeu.org/article/credit-default-swaps-useful-misleading-dangerous ,,,,
Prendergast,Canice,Agree,7,,,Agree,6,,,Agree,4,,,,,,
Propper,Carol,Agree,1,,,No Opinion,,,,Agree,1,,,,,,
Rasul,Imran,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Reichlin,Lucrezia,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Repullo,Rafael,Strongly Agree,8,,,Uncertain,8,,,Strongly Agree,8,,,,,,
