V3,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
Name,Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.,"Appropriately managed corporations could create significantly greater value than they currently do for a range of stakeholders � including workers, suppliers, customers and community members � with small impacts on shareholder value.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.,"Effective mechanisms for boards of directors to ensure that CEOs act in ways that balance the interests of all stakeholders would be straightforward to introduce.
",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.
"Allen, Franklin",Uncertain,5,I think the issue of stakeholder governance is a very important and much understudied subject.  It has been difficult to publish papers. ,,Uncertain,5,Again very understudied.,,Disagree,7,I think it will be very difficult to do in practice. The German system of codetermination may be better.,
"Antras, Pol",Disagree,3,,,No Opinion,,,,No Opinion,,,
"Bénassy-Quéré, Agnès",Uncertain,4,Depends on the horizon of the shareholders and on the regulation.,,Uncertain,2,Probably not at short horizon. More uncertain at longer horizons.,,Agree,6,,
"Besley, Timothy J.",Strongly Agree,10,,,Agree,8,,,Disagree,6,,
"Blanchard, Olivier",Uncertain,10,Not necessarily.  Depends on distortions in the market and in the economy as a whole.  ,,Uncertain,9,"there are probably such cases. In general, it is primarily the job of the government to put in place the right regulations.  ",,Uncertain,8,"I believe in more representation of workers on the board, primarily for information and trust reasons. ",
"Bloom, Nicholas",Strongly Disagree,7,,,Strongly Disagree,10,,,Strongly Disagree,9,,
"Blundell, Richard William",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
"Carletti, Elena",Uncertain,5,,,Agree,5,,,Uncertain,5,"Introducing such mechanisms would not be straightforward, but something can be done",
"Danthine, Jean-Pierre",Strongly Agree,9,,,Agree,9,Provided a long run perspective is adopted / ,,Uncertain,7,Regulation and legal mechanisms must be complemented by changes in investors� convictions!,
"De Grauwe, Paul",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
"Eeckhout, Jan",Agree,9,2 caveats: 1 if there are inefficiencies at firm level (market power in output or input); 2 channel may be indirect via equil wages,,Agree,7,,,Agree,8,,
"Fehr, Ernst",Agree,7,,,Uncertain,5,,,Uncertain,5,,
"Freixas, Xavier",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
"Fuchs-Schündeln, Nicola",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
"Galí, Jordi",Uncertain,8,,,Agree,5,,,Uncertain,5,,
"Giavazzi, Francesco",Strongly Disagree,5,,,Uncertain,5,,,Disagree,7,,
"Griffith, Rachel",Agree,8,"Pollution the most obvious, but also other social costs.",,Agree,7,,,Uncertain,6,,
"Guerrieri, Veronica",Uncertain,5,,,No Opinion,,,,Disagree,6,,
"Guiso, Luigi",Uncertain,8,,,Agree,7,,,Disagree,8,,
"Honohan, Patrick",Uncertain,1,"Sometimes does, sometimes not.  When it does, law and regulation can/should be used to counteract.",,Agree,1,"Short-termism and weak ethical principles likely limit the social contribution of many corporations, especially in complex market segments.",,Disagree,1,Not even sure current systems guarantee maximum shareholder value,
"Javorcik, Beata",Uncertain,1,,,Agree,8,,,Agree,5,,
"Kleven, Henrik",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
"Kőszegi, Botond",Agree,7,,,Agree,4,,,Disagree,9,,
"Krahnen, Jan Pieter",Disagree,7,There is a route to maximizing shareholder value while simultaneously upholding stakeholder utility: That is German Ordnungspolitik. ,,Agree,6,"In its generality, the statement is hard to disagree with...",,Disagree,7,Long term profitability will not be maximized when other stakeholders' interests are manifestly violated. ,
"La Ferrara, Eliana",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
"Leuz, Christian",Agree,7,"Co should max sh welfare not value. Even Milton F recognized these externalities, need laws & ethics as constraints & perhaps stronger ones.","https://www.nytimes.com/1970/09/13/archives/a-friedman-doctrine-the-social-responsibility-of-business-is-to.html, https://scholar.harvard.edu/files/hart/files/108.00000022-hart-vol2no2-jlfa-0022_002.pdf",Uncertain,5,Unlikely as implies corp leave lots money on table or managers extract huge rents; yet maximizing stakeh. welfare could address externalit.,"https://onlinelibrary.wiley.com/doi/pdf/10.3982/ECTA11455, https://www.aeaweb.org/articles?id=10.1257/jel.50.1.51",Disagree,8,It would clearly be difficult but this does not imply that one should not try. There are many difficult governance problems.,https://scholar.harvard.edu/files/hart/files/108.00000022-hart-vol2no2-jlfa-0022_002.pdf
"Mayer, Thierry",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
"Meghir, Costas",Agree,7,,,Uncertain,6,,,Disagree,6,,
"Neary, Peter",Agree,3,"I agree with this statement, though maximizing shareholder value also encourages efficient profit-making which has social value",,Agree,4,"Modern corporations should be regulated, including anti-trust, regulation to ensure compliance with environmental and labor standards, etc.",,Uncertain,4,Regulation is a multi-faceted goal; legistating on the composion of boards of directors may not be a good instrument to achieve it,
"O'Rourke, Kevin",Uncertain,5,,,Agree,5,,,Agree,5,,
"Pagano, Marco",Strongly Agree,8,,,Uncertain,7,,,Uncertain,8,,
"Pastor, Lubos",Uncertain,4,True but it creates not only negative but also positive externalities. The net effect varies across firms.,,Disagree,3,"Possible for some firms, but unlikely for most.",,Strongly Disagree,4,,
"Persson, Torsten",Uncertain,5,,,Agree,4,,,Uncertain,5,,
"Pissarides, Christopher",Agree,7,,,Strongly Agree,8,,,Agree,8,,
"Portes, Richard",Strongly Agree,8,,,Agree,7,,,Uncertain,5,,
"Prendergast, Canice",Uncertain,7,,,Uncertain,6,,,Strongly Disagree,7,,
