V3,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9
Name,The European Union goal of reaching net zero emissions of greenhouse gases by 2050 will be a major drag on economic growth.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.,Carbon taxes are a better way to implement climate policy than cap-and-trade.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.
"Allen, Franklin",Disagree,6,There are a lot of opportunities building new businesses from the climate change initiative. The time horizon is long enough for it to be ok,,Uncertain,3,This is an interesting question. I do not know the research in this area well.,
"Antras, Pol",Uncertain,4,"It's certainly would be costly, but I don't know what is meant by ""major drag on economic growth""",,Agree,8,The late Marty Weitzman taught us that the theoretical answer is ambiguous; but taxes are more transparent and less prone to rent-seeking,
"Bénassy-Quéré, Agnès",Uncertain,5,Depends on how the policy is carried out. The overall drag on growth may be limited but large uncertainty. Counterfactual is also unclear.,,Agree,5,In theory cap-and-trade is attractive but in practice it fails to give a long-term perspective on carbon prices.,
"Blanchard, Olivier",Uncertain,7,"Carbon taxes or caps are likely to lead to stranded assets, but alsohigh investment in new technologies. May come with higher tfp as well.  ",,Uncertain,7,"Weitzman discussion of prices versus quantities.  Cap and trade more manipulable, but achieving given quantity for sure may be needed.  ",
"Bloom, Nicholas",Disagree,5,,,Uncertain,1,,
"Blundell, Richard William",Uncertain,4,,,Agree,6,,
"Carletti, Elena",Uncertain,3,,,Uncertain,2,,
"Danthine, Jean-Pierre",Disagree,3,A well crafted and timed transition strategy will create significant economic opportunities. ,,Agree,3,I tend to agree but reaching the goal while taking political constraints into account requires being pragmatic,
"De Grauwe, Paul",Disagree,7,"Creative destruction is involved here. It is never a major drag on growth, but leads losers and winners",,Agree,7,In absence of uncertainty both are equivalent. Cap and trade creates too much cost uncertainty for the investors in new technologies,
"Eeckhout, Jan",Uncertain,5,,,Uncertain,7,"This about the uncertainty of the economic consequences. The carbon tax allows quantity to adjust, C&T lets price adjust. We don't know...",
"Fehr, Ernst",Disagree,7,,,Agree,8,,
"Freixas, Xavier",Uncertain,5,"The need for new technologies may substitute for the direct cost. Still, it may be the case that other countries get the benefits",,Strongly Agree,9,prices are better than caps at producing the right effects,
"Fuchs-Schündeln, Nicola",Disagree,5,,,Uncertain,5,,
"Galí, Jordi",Uncertain,7,,,Agree,5,,
"Giavazzi, Francesco",Disagree,8,,,Uncertain,6,,
"Griffith, Rachel",Uncertain,1,,,Uncertain,1,,
"Guerrieri, Veronica",Uncertain,3,,,Uncertain,3,,
"Guiso, Luigi",Disagree,6,,,Uncertain,5,,
"Honohan, Patrick",Disagree,1,"Admittedly it could be if handled badly; among other things, depends heavily on rest of world�s policies.",,Agree,1,On balance this seems a cleaner approach less likely to be hijacked by special interest lobbying.,
"Javorcik, Beata",Disagree,4,,,Agree,6,,
"Kőszegi, Botond",Disagree,4,,,Uncertain,10,,
