Last Name,First Name,Q1,Q2,Q3,Q4,Q10,Q12,Q14,Q16,,,,,,,,,,,,
Last Name,First Name,A wealth tax would be an effective way to reduce inequality.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,URL(s) associated with your answer.  Please separate multiple URLs with a comma.,"A public policy goal that could be accomplished with a well-enforced wealth tax could be accomplished at lower cost with modifications to existing taxes, such as income tax, capital gains tax, inheritance tax and property tax.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,URL(s) associated with your answer.  Please separate multiple URLs with a comma.,,,,,,,,,,,,
Allen,Franklin,Uncertain,5,"A wealth tax is effective where asset prices are readily available but in many countries, particularly in Europe this is not the case.",,Uncertain,5,Probably there's an MM type theorem out there but whether the assumptions are reasonable is doubtful. Monetary policy may be a better way.,,,,,,,,,,,,,
Antras,Pol,Strongly Agree,6,"Hard to argue that it would not if properly implemented (i.e., addressing potential loopholes)",,Uncertain,6,,,,,,,,,,,,,,
Bandiera,Oriana,Strongly Agree,10,,,Agree,10,,,,,,,,,,,,,,
Blanchard,Olivier,Strongly Agree,8,,,Uncertain,8,"not sure about the  ``lower cost'' part.  there are equivalence theorems, and then it depends on implementation problems. ",,,,,,,,,,,,,
Bloom,Nicholas,Uncertain,7,"Wealth taxes have some major distortions, so it would reduce inequality but be economically very costly. Hence I would prefer an income tax.",,Strongly Agree,10,Having worked in the UK treasury on tax policy - and dealt with taxes in the real world - details matter. A wealth tax would not work well.,,,,,,,,,,,,,
Blundell,Richard William,Agree,6,,,Agree,4,,,,,,,,,,,,,,
Carletti,Elena,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,,
Danthine,Jean-Pierre,Agree,3,A wealth tax would clearly be a positive move in the intended direction. It will not be a silver bullet.,,Uncertain,3,Other taxes may be more efficient at raising funds. Green taxes may be less distortionary. A wealth tax should be part of the package!,,,,,,,,,,,,,
De Grauwe,Paul,Strongly Agree,8,In order to have strong redistributive effects the wealth tax should have a progressive feature,,Disagree,6,,,,,,,,,,,,,,
Eeckhout,Jan,Agree,9,,,Uncertain,8,,,,,,,,,,,,,,
Fehr,Ernst,Strongly Agree,8,,,Disagree,7,,,,,,,,,,,,,,
Freixas,Xavier,Strongly Agree,7,,,Disagree,4,,,,,,,,,,,,,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,,
Galí,Jordi,Agree,6,,,Agree,6,,,,,,,,,,,,,,
Giavazzi,Francesco,Uncertain,8,,,Agree,8,,,,,,,,,,,,,,
Griffith,Rachel,Agree,8,,,Agree,8,,,,,,,,,,,,,,
Guerrieri,Veronica,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,,
Guiso,Luigi,Disagree,9,main cause of wealth concentration is heterogeneity in returns to wealth; a feasible wealth tax can only lower heterogeneity a bit   ,,Uncertain,5,,,,,,,,,,,,,,
Guriev,Sergei,Agree,7,,,Agree,7,,,,,,,,,,,,,,
Honohan,Patrick,Uncertain,5,"It could be, but history suggests that large loopholes would enable most of the super-rich to avoid it.",,Agree,5,,,,,,,,,,,,,,
Javorcik,Beata,Uncertain,1,,,Agree,5,,,,,,,,,,,,,,
Kőszegi,Botond,Agree,9,,,Uncertain,6,,,,,,,,,,,,,,
Krahnen,Jan Pieter,Uncertain,4,"A wealth tax will lower inequality only if the resulting wealth transfer/tax avoidance activities do not outweigh the intended effect.


",,Agree,7,,,,,,,,,,,,,,
La Ferrara,Eliana,Agree,7,,,Uncertain,4,,,,,,,,,,,,,,
Leuz,Christian,Uncertain,3,"It is one lever to fight ineq but lots of issues w/implementing WT well. Issues w/progressive consumption tax as alternative too, so unclear","https://www.aeaweb.org/articles?id=10.1257/aer.p20151059, https://www.aeaweb.org/articles?id=10.1257/aer.p20151060",Uncertain,3,"Equivalence w/ capital income tax under some conditions; some arguments in favor of WT (see below), but there are also inher and prop taxes.",https://www.nber.org/papers/w26284,,,,,,,,,,,,
Mayer,Thierry,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,,
Meghir,Costas,Uncertain,9,,,Agree,9,,,,,,,,,,,,,,
Neary,Peter,Strongly Agree,7,,,Uncertain,6,"In principle, yes. Raising capital gains tax in particular would tax flows of new wealth. But a wealth tax is still desirable.",,,,,,,,,,,,,
Pagano,Marco,Agree,4,Of course much depends on how it is implemented!,,Uncertain,4,,,,,,,,,,,,,,
Pastor,Lubos,Disagree,4,"Much wealth is not liquid, not easy to monetize. Also incentives to hide wealth (gold, paintings). ",,Uncertain,4,,,,,,,,,,,,,,
Persson,Torsten,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,,
Pissarides,Christopher,Disagree,7,,,Agree,9,The administration of a wealth tax would be a nightmare and the ones that will get away will be the wealthiest. More money for accountants,,,,,,,,,,,,,
Portes,Richard,Strongly Agree,6,,,Uncertain,1,,,,,,,,,,,,,,
Prendergast,Canice,Agree,9,,,Agree,8,,,,,,,,,,,,,,
Propper,Carol,Agree,5,,,Agree,6,,,,,,,,,,,,,,
Rasul,Imran,Agree,6,,,Agree,6,,,,,,,,,,,,,,
Reichlin,Lucrezia,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,,
Repullo,Rafael,Agree,4,The effect on inequality is likely to be small.,,Uncertain,4,,,,,,,,,,,,,,
Rey,Hélène,Agree,8,,,Uncertain,1,depends on implementation ,,,,,,,,,,,,,
Schoar,Antoinette,Uncertain,8,,,Strongly Agree,9,,,,,,,,,,,,,,
Storesletten,Kjetil,Disagree,7,"As a tool for addressing inequality, progressive income taxes is more effective than wealth taxes",,Strongly Agree,8,Property taxes can raise large revenue with small distortions. Use progressive income taxes and dividend taxes to address inequality,,,,,,,,,,,,,
Sturm,Daniel,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,,
Van Reenen,John,Agree,6,,,Agree,6,,,,,,,,,,,,,,
Vickers,John,Uncertain,3,Reform of the hotch-potch of existing capital taxes might be more effective.  Simply adding to the hotch-potch could backfire.,,Uncertain,3,,,,,,,,,,,,,,
Voth,Hans-Joachim,Disagree,8,The superrich will find ways to avoid it - it will underimne wealth accumulation by the bottom 95%,,Agree,9,,,,,,,,,,,,,,
Whelan,Karl,Strongly Agree,10,Just yes.,,Agree,8,There are lots of ways to tax wealth but objections to raising inheritance taxes etc. will be just as strong as objections to a wealth tax.,,,,,,,,,,,,,
Wyplosz,Charles,Uncertain,5,It works but is it the best? ,,No Opinion,,,,,,,,,,,,,,,
Zilibotti,Fabrizio,Agree,9,,,Disagree,8,,,,,,,,,,,,,,
